Statistic,Month,Age.Group,Sex,value
Seasonally Adjusted Monthly Unemployment,2012 April,15 - 74 years,Male,219.5
Seasonally Adjusted Monthly Unemployment,2012 April,15 - 74 years,Female,128.0
Seasonally Adjusted Monthly Unemployment,2012 April,25 - 74 years,Both sexes,256.4
Seasonally Adjusted Monthly Unemployment,2012 April,25 - 74 years,Male,161.3
Seasonally Adjusted Monthly Unemployment,2012 April,25 - 74 years,Female,95.0
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 24 years,Both sexes,89.8
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 24 years,Male,57.6
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 24 years,Female,32.2
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 74 years,Both sexes,342.7
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 74 years,Male,216.6
Seasonally Adjusted Monthly Unemployment,2012 May,15 - 74 years,Female,126.0
Seasonally Adjusted Monthly Unemployment,2012 May,25 - 74 years,Both sexes,252.9
Seasonally Adjusted Monthly Unemployment,2012 May,25 - 74 years,Male,159.1
Seasonally Adjusted Monthly Unemployment,2012 May,25 - 74 years,Female,93.8
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 24 years,Both sexes,89.6
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 24 years,Male,57.4
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 24 years,Female,32.2
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 74 years,Both sexes,340.7
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 74 years,Male,216.6
Seasonally Adjusted Monthly Unemployment,2012 June,15 - 74 years,Female,124.0
Seasonally Adjusted Monthly Unemployment,2012 June,25 - 74 years,Both sexes,251.0
Seasonally Adjusted Monthly Unemployment,2012 June,25 - 74 years,Male,159.2
Seasonally Adjusted Monthly Unemployment,2012 June,25 - 74 years,Female,91.8
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 24 years,Both sexes,90.0
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 24 years,Male,57.1
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 24 years,Female,33.0
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 74 years,Both sexes,343.9
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 74 years,Male,217.4
Seasonally Adjusted Monthly Unemployment,2012 July,15 - 74 years,Female,126.5
Seasonally Adjusted Monthly Unemployment,2012 July,25 - 74 years,Both sexes,253.8
Seasonally Adjusted Monthly Unemployment,2012 July,25 - 74 years,Male,160.3
Seasonally Adjusted Monthly Unemployment,2012 July,25 - 74 years,Female,93.6
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 24 years,Both sexes,88.2
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 24 years,Male,55.4
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 24 years,Female,32.8
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 74 years,Both sexes,344.3
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 74 years,Male,216.1
Seasonally Adjusted Monthly Unemployment,2012 August,15 - 74 years,Female,128.2
Seasonally Adjusted Monthly Unemployment,2012 August,25 - 74 years,Both sexes,256.1
Seasonally Adjusted Monthly Unemployment,2012 August,25 - 74 years,Male,160.7
Seasonally Adjusted Monthly Unemployment,2012 August,25 - 74 years,Female,95.4
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 24 years,Both sexes,85.3
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 24 years,Male,54.1
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 24 years,Female,31.2
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 74 years,Both sexes,339.9
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 74 years,Male,213.5
Seasonally Adjusted Monthly Unemployment,2012 September,15 - 74 years,Female,126.4
Seasonally Adjusted Monthly Unemployment,2012 September,25 - 74 years,Both sexes,254.6
Seasonally Adjusted Monthly Unemployment,2012 September,25 - 74 years,Male,159.3
Seasonally Adjusted Monthly Unemployment,2012 September,25 - 74 years,Female,95.3
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 24 years,Both sexes,83.4
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 24 years,Male,53.3
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 24 years,Female,30.1
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 74 years,Both sexes,336.9
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 74 years,Male,211.6
Seasonally Adjusted Monthly Unemployment,2012 October,15 - 74 years,Female,125.2
Seasonally Adjusted Monthly Unemployment,2012 October,25 - 74 years,Both sexes,253.5
Seasonally Adjusted Monthly Unemployment,2012 October,25 - 74 years,Male,158.4
Seasonally Adjusted Monthly Unemployment,2012 October,25 - 74 years,Female,95.1
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 24 years,Both sexes,81.5
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 24 years,Male,51.7
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 24 years,Female,29.7
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 74 years,Both sexes,332.2
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 74 years,Male,206.7
Seasonally Adjusted Monthly Unemployment,2012 November,15 - 74 years,Female,125.5
Seasonally Adjusted Monthly Unemployment,2012 November,25 - 74 years,Both sexes,250.7
Seasonally Adjusted Monthly Unemployment,2012 November,25 - 74 years,Male,154.9
Seasonally Adjusted Monthly Unemployment,2012 November,25 - 74 years,Female,95.8
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 24 years,Both sexes,80.7
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 24 years,Male,50.3
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 24 years,Female,30.4
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 74 years,Both sexes,328.9
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 74 years,Male,202.0
Seasonally Adjusted Monthly Unemployment,2012 December,15 - 74 years,Female,126.8
Seasonally Adjusted Monthly Unemployment,2012 December,25 - 74 years,Both sexes,248.2
Seasonally Adjusted Monthly Unemployment,2012 December,25 - 74 years,Male,151.7
Seasonally Adjusted Monthly Unemployment,2012 December,25 - 74 years,Female,96.4
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 24 years,Both sexes,78.9
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 24 years,Male,47.7
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 24 years,Female,31.2
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 74 years,Both sexes,325.7
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 74 years,Male,195.5
Seasonally Adjusted Monthly Unemployment,2013 January,15 - 74 years,Female,130.2
Seasonally Adjusted Monthly Unemployment,2013 January,25 - 74 years,Both sexes,246.8
Seasonally Adjusted Monthly Unemployment,2013 January,25 - 74 years,Male,147.8
Seasonally Adjusted Monthly Unemployment,2013 January,25 - 74 years,Female,99.0
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 24 years,Both sexes,79.0
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 24 years,Male,47.2
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 24 years,Female,31.8
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 74 years,Both sexes,324.0
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 74 years,Male,192.5
Seasonally Adjusted Monthly Unemployment,2013 February,15 - 74 years,Female,131.5
Seasonally Adjusted Monthly Unemployment,2013 February,25 - 74 years,Both sexes,245.0
Seasonally Adjusted Monthly Unemployment,2013 February,25 - 74 years,Male,145.2
Seasonally Adjusted Monthly Unemployment,2013 February,25 - 74 years,Female,99.7
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 24 years,Both sexes,77.8
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 24 years,Male,45.8
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 24 years,Female,32.0
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 74 years,Both sexes,319.5
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 74 years,Male,186.9
Seasonally Adjusted Monthly Unemployment,2013 March,15 - 74 years,Female,132.6
Seasonally Adjusted Monthly Unemployment,2013 March,25 - 74 years,Both sexes,241.7
Seasonally Adjusted Monthly Unemployment,2013 March,25 - 74 years,Male,141.0
Seasonally Adjusted Monthly Unemployment,2013 March,25 - 74 years,Female,100.6
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 24 years,Both sexes,79.2
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 24 years,Male,47.3
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 24 years,Female,32.0
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 74 years,Both sexes,324.0
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 74 years,Male,190.1
Seasonally Adjusted Monthly Unemployment,2013 April,15 - 74 years,Female,133.9
Seasonally Adjusted Monthly Unemployment,2013 April,25 - 74 years,Both sexes,244.8
Seasonally Adjusted Monthly Unemployment,2013 April,25 - 74 years,Male,142.8
Seasonally Adjusted Monthly Unemployment,2013 April,25 - 74 years,Female,102.0
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 24 years,Both sexes,79.4
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 24 years,Male,47.7
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 24 years,Female,31.7
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 74 years,Both sexes,324.1
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 74 years,Male,189.9
Seasonally Adjusted Monthly Unemployment,2013 May,15 - 74 years,Female,134.2
Seasonally Adjusted Monthly Unemployment,2013 May,25 - 74 years,Both sexes,244.7
Seasonally Adjusted Monthly Unemployment,2013 May,25 - 74 years,Male,142.2
Seasonally Adjusted Monthly Unemployment,2013 May,25 - 74 years,Female,102.5
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 24 years,Both sexes,77.5
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 24 years,Male,47.1
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 24 years,Female,30.4
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 74 years,Both sexes,315.8
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 74 years,Male,187.2
Seasonally Adjusted Monthly Unemployment,2013 June,15 - 74 years,Female,128.5
Seasonally Adjusted Monthly Unemployment,2013 June,25 - 74 years,Both sexes,238.3
Seasonally Adjusted Monthly Unemployment,2013 June,25 - 74 years,Male,140.2
Seasonally Adjusted Monthly Unemployment,2013 June,25 - 74 years,Female,98.1
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 24 years,Both sexes,75.2
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 24 years,Male,46.1
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 24 years,Female,29.1
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 74 years,Both sexes,305.1
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 74 years,Male,183.7
Seasonally Adjusted Monthly Unemployment,2013 July,15 - 74 years,Female,121.4
Seasonally Adjusted Monthly Unemployment,2013 July,25 - 74 years,Both sexes,229.9
Seasonally Adjusted Monthly Unemployment,2013 July,25 - 74 years,Male,137.6
Seasonally Adjusted Monthly Unemployment,2013 July,25 - 74 years,Female,92.3
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 24 years,Both sexes,73.1
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 24 years,Male,44.4
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 24 years,Female,28.6
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 74 years,Both sexes,298.7
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 74 years,Male,179.5
Seasonally Adjusted Monthly Unemployment,2013 August,15 - 74 years,Female,119.2
Seasonally Adjusted Monthly Unemployment,2013 August,25 - 74 years,Both sexes,225.6
Seasonally Adjusted Monthly Unemployment,2013 August,25 - 74 years,Male,135.1
Seasonally Adjusted Monthly Unemployment,2013 August,25 - 74 years,Female,90.5
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 24 years,Both sexes,71.7
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 24 years,Male,42.9
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 24 years,Female,28.8
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 74 years,Both sexes,293.5
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 74 years,Male,174.6
Seasonally Adjusted Monthly Unemployment,2013 September,15 - 74 years,Female,118.9
Seasonally Adjusted Monthly Unemployment,2013 September,25 - 74 years,Both sexes,221.8
Seasonally Adjusted Monthly Unemployment,2013 September,25 - 74 years,Male,131.7
Seasonally Adjusted Monthly Unemployment,2013 September,25 - 74 years,Female,90.1
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 24 years,Both sexes,70.9
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 24 years,Male,41.1
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 24 years,Female,29.8
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 74 years,Both sexes,290.4
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 74 years,Male,168.9
Seasonally Adjusted Monthly Unemployment,2013 October,15 - 74 years,Female,121.5
Seasonally Adjusted Monthly Unemployment,2013 October,25 - 74 years,Both sexes,219.5
Seasonally Adjusted Monthly Unemployment,2013 October,25 - 74 years,Male,127.9
Seasonally Adjusted Monthly Unemployment,2013 October,25 - 74 years,Female,91.7
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 24 years,Both sexes,70.0
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 24 years,Male,40.0
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 24 years,Female,30.0
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 74 years,Both sexes,288.0
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 74 years,Male,164.9
Seasonally Adjusted Monthly Unemployment,2013 November,15 - 74 years,Female,123.1
Seasonally Adjusted Monthly Unemployment,2013 November,25 - 74 years,Both sexes,218.0
Seasonally Adjusted Monthly Unemployment,2013 November,25 - 74 years,Male,124.9
Seasonally Adjusted Monthly Unemployment,2013 November,25 - 74 years,Female,93.1
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 24 years,Both sexes,70.3
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 24 years,Male,40.0
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 24 years,Female,30.2
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 74 years,Both sexes,287.9
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 74 years,Male,164.5
Seasonally Adjusted Monthly Unemployment,2013 December,15 - 74 years,Female,123.4
Seasonally Adjusted Monthly Unemployment,2013 December,25 - 74 years,Both sexes,217.6
Seasonally Adjusted Monthly Unemployment,2013 December,25 - 74 years,Male,124.4
Seasonally Adjusted Monthly Unemployment,2013 December,25 - 74 years,Female,93.2
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 24 years,Both sexes,71.1
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 24 years,Male,41.3
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 24 years,Female,29.8
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 74 years,Both sexes,289.7
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 74 years,Male,167.0
Seasonally Adjusted Monthly Unemployment,2014 January,15 - 74 years,Female,122.7
Seasonally Adjusted Monthly Unemployment,2014 January,25 - 74 years,Both sexes,218.6
Seasonally Adjusted Monthly Unemployment,2014 January,25 - 74 years,Male,125.7
Seasonally Adjusted Monthly Unemployment,2014 January,25 - 74 years,Female,92.9
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 24 years,Both sexes,72.4
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 24 years,Male,43.4
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 24 years,Female,29.1
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 74 years,Both sexes,289.5
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 74 years,Male,169.5
Seasonally Adjusted Monthly Unemployment,2014 February,15 - 74 years,Female,120.0
Seasonally Adjusted Monthly Unemployment,2014 February,25 - 74 years,Both sexes,217.1
Seasonally Adjusted Monthly Unemployment,2014 February,25 - 74 years,Male,126.1
Seasonally Adjusted Monthly Unemployment,2014 February,25 - 74 years,Female,91.0
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 24 years,Both sexes,71.2
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 24 years,Male,42.1
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 24 years,Female,29.0
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 74 years,Both sexes,285.1
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 74 years,Male,167.2
Seasonally Adjusted Monthly Unemployment,2014 March,15 - 74 years,Female,117.9
Seasonally Adjusted Monthly Unemployment,2014 March,25 - 74 years,Both sexes,213.9
Seasonally Adjusted Monthly Unemployment,2014 March,25 - 74 years,Male,125.1
Seasonally Adjusted Monthly Unemployment,2014 March,25 - 74 years,Female,88.9
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 24 years,Both sexes,67.4
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 24 years,Male,39.4
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 24 years,Female,28.1
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 74 years,Both sexes,276.5
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 74 years,Male,163.5
Seasonally Adjusted Monthly Unemployment,2014 April,15 - 74 years,Female,113.0
Seasonally Adjusted Monthly Unemployment,2014 April,25 - 74 years,Both sexes,209.1
Seasonally Adjusted Monthly Unemployment,2014 April,25 - 74 years,Male,124.1
Seasonally Adjusted Monthly Unemployment,2014 April,25 - 74 years,Female,85.0
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 24 years,Both sexes,65.4
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 24 years,Male,38.2
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 24 years,Female,27.2
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 74 years,Both sexes,271.3
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 74 years,Male,160.5
Seasonally Adjusted Monthly Unemployment,2014 May,15 - 74 years,Female,110.8
Seasonally Adjusted Monthly Unemployment,2014 May,25 - 74 years,Both sexes,205.9
Seasonally Adjusted Monthly Unemployment,2014 May,25 - 74 years,Male,122.3
Seasonally Adjusted Monthly Unemployment,2014 May,25 - 74 years,Female,83.6
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 24 years,Both sexes,63.8
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 24 years,Male,37.7
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 24 years,Female,26.1
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 74 years,Both sexes,268.0
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 74 years,Male,157.7
Seasonally Adjusted Monthly Unemployment,2014 June,15 - 74 years,Female,110.4
Seasonally Adjusted Monthly Unemployment,2014 June,25 - 74 years,Both sexes,204.2
Seasonally Adjusted Monthly Unemployment,2014 June,25 - 74 years,Male,119.9
Seasonally Adjusted Monthly Unemployment,2014 June,25 - 74 years,Female,84.3
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 24 years,Both sexes,62.2
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 24 years,Male,37.2
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 24 years,Female,24.9
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 74 years,Both sexes,266.4
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 74 years,Male,154.5
Seasonally Adjusted Monthly Unemployment,2014 July,15 - 74 years,Female,111.9
Seasonally Adjusted Monthly Unemployment,2014 July,25 - 74 years,Both sexes,204.2
Seasonally Adjusted Monthly Unemployment,2014 July,25 - 74 years,Male,117.2
Seasonally Adjusted Monthly Unemployment,2014 July,25 - 74 years,Female,87.0
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 24 years,Both sexes,60.5
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 24 years,Male,36.8
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 24 years,Female,23.7
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 74 years,Both sexes,262.6
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 74 years,Male,151.1
Seasonally Adjusted Monthly Unemployment,2014 August,15 - 74 years,Female,111.6
Seasonally Adjusted Monthly Unemployment,2014 August,25 - 74 years,Both sexes,202.1
Seasonally Adjusted Monthly Unemployment,2014 August,25 - 74 years,Male,114.2
Seasonally Adjusted Monthly Unemployment,2014 August,25 - 74 years,Female,87.9
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 24 years,Both sexes,59.0
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 24 years,Male,36.6
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 24 years,Female,22.5
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 74 years,Both sexes,257.8
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 74 years,Male,148.3
Seasonally Adjusted Monthly Unemployment,2014 September,15 - 74 years,Female,109.6
Seasonally Adjusted Monthly Unemployment,2014 September,25 - 74 years,Both sexes,198.8
Seasonally Adjusted Monthly Unemployment,2014 September,25 - 74 years,Male,111.7
Seasonally Adjusted Monthly Unemployment,2014 September,25 - 74 years,Female,87.1
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 24 years,Both sexes,57.1
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 24 years,Male,36.1
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 24 years,Female,20.9
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 74 years,Both sexes,249.2
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 74 years,Male,145.4
Seasonally Adjusted Monthly Unemployment,2014 October,15 - 74 years,Female,103.7
Seasonally Adjusted Monthly Unemployment,2014 October,25 - 74 years,Both sexes,192.1
Seasonally Adjusted Monthly Unemployment,2014 October,25 - 74 years,Male,109.3
Seasonally Adjusted Monthly Unemployment,2014 October,25 - 74 years,Female,82.8
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 24 years,Both sexes,57.4
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 24 years,Male,36.8
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 24 years,Female,20.6
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 74 years,Both sexes,244.5
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 74 years,Male,143.9
Seasonally Adjusted Monthly Unemployment,2014 November,15 - 74 years,Female,100.6
Seasonally Adjusted Monthly Unemployment,2014 November,25 - 74 years,Both sexes,187.0
Seasonally Adjusted Monthly Unemployment,2014 November,25 - 74 years,Male,107.1
Seasonally Adjusted Monthly Unemployment,2014 November,25 - 74 years,Female,80.0
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 24 years,Both sexes,59.5
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 24 years,Male,38.0
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 24 years,Female,21.5
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 74 years,Both sexes,243.4
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 74 years,Male,144.1
Seasonally Adjusted Monthly Unemployment,2014 December,15 - 74 years,Female,99.3
Seasonally Adjusted Monthly Unemployment,2014 December,25 - 74 years,Both sexes,183.9
Seasonally Adjusted Monthly Unemployment,2014 December,25 - 74 years,Male,106.1
Seasonally Adjusted Monthly Unemployment,2014 December,25 - 74 years,Female,77.8
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 24 years,Both sexes,62.1
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 24 years,Male,38.9
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 24 years,Female,23.2
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 74 years,Both sexes,242.0
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 74 years,Male,143.8
Seasonally Adjusted Monthly Unemployment,2015 January,15 - 74 years,Female,98.2
Seasonally Adjusted Monthly Unemployment,2015 January,25 - 74 years,Both sexes,179.9
Seasonally Adjusted Monthly Unemployment,2015 January,25 - 74 years,Male,104.9
Seasonally Adjusted Monthly Unemployment,2015 January,25 - 74 years,Female,75.0
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 24 years,Both sexes,63.4
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 24 years,Male,40.0
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 24 years,Female,23.4
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 74 years,Both sexes,240.7
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 74 years,Male,143.6
Seasonally Adjusted Monthly Unemployment,2015 February,15 - 74 years,Female,97.1
Seasonally Adjusted Monthly Unemployment,2015 February,25 - 74 years,Both sexes,177.3
Seasonally Adjusted Monthly Unemployment,2015 February,25 - 74 years,Male,103.6
Seasonally Adjusted Monthly Unemployment,2015 February,25 - 74 years,Female,73.7
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 24 years,Both sexes,60.5
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 24 years,Male,37.9
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 24 years,Female,22.6
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 74 years,Both sexes,237.3
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 74 years,Male,140.1
Seasonally Adjusted Monthly Unemployment,2015 March,15 - 74 years,Female,97.2
Seasonally Adjusted Monthly Unemployment,2015 March,25 - 74 years,Both sexes,176.8
Seasonally Adjusted Monthly Unemployment,2015 March,25 - 74 years,Male,102.2
Seasonally Adjusted Monthly Unemployment,2015 March,25 - 74 years,Female,74.6
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 24 years,Both sexes,55.0
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 24 years,Male,34.3
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 24 years,Female,20.6
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 74 years,Both sexes,232.3
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 74 years,Male,135.9
Seasonally Adjusted Monthly Unemployment,2015 April,15 - 74 years,Female,96.4
Seasonally Adjusted Monthly Unemployment,2015 April,25 - 74 years,Both sexes,177.4
Seasonally Adjusted Monthly Unemployment,2015 April,25 - 74 years,Male,101.6
Seasonally Adjusted Monthly Unemployment,2015 April,25 - 74 years,Female,75.8
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 24 years,Both sexes,52.4
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 24 years,Male,32.5
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 24 years,Female,19.9
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 74 years,Both sexes,227.6
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 74 years,Male,132.0
Seasonally Adjusted Monthly Unemployment,2015 May,15 - 74 years,Female,95.5
Seasonally Adjusted Monthly Unemployment,2015 May,25 - 74 years,Both sexes,175.2
Seasonally Adjusted Monthly Unemployment,2015 May,25 - 74 years,Male,99.6
Seasonally Adjusted Monthly Unemployment,2015 May,25 - 74 years,Female,75.6
Seasonally Adjusted Monthly Unemployment,2015 June,15 - 24 years,Both sexes,51.2
Seasonally Adjusted Monthly Unemployment,2015 June,15 - 24 years,Male,32.1
Seasonally Adjusted Monthly Unemployment,2015 June,15 - 24 years,Female,19.1
