Statistic,Month,NACE.Group,value
Retail Sales Index Value Unadjusted,2019 December,All retail businesses,123.5
Retail Sales Index Value Unadjusted,2019 December,"Motor trades and automotive fuel (45,4730)",48.3
Retail Sales Index Value Unadjusted,2019 December,"All retail businesses, excluding motor trades and bars",156.4
Retail Sales Index Value Unadjusted,2019 December,"All retail businesses, excluding motor trades",155.0
Retail Sales Index Value Unadjusted,2019 December,"All retail businesses, excluding motor trades, automotive fuel and bars",160.2
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of food (4711,4721 to 4729)",136.4
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",181.9
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",148.7
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",171.2
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of electrical goods (4741 to 4743,4754)",215.8
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",179.7
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",216.6
Retail Sales Index Value Unadjusted,2019 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",226.4
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of books, newspapers and stationery (4761,4762)",173.3
Retail Sales Index Value Unadjusted,2019 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",176.5
Retail Sales Index Value Unadjusted,2020 January,Motor trades (45),218.7
Retail Sales Index Value Unadjusted,2020 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",106.4
Retail Sales Index Value Unadjusted,2020 January,Department stores (4719),69.5
Retail Sales Index Value Unadjusted,2020 January,Retail sale of automotive fuel (4730),108.6
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of hardware, paints and glass (4752)",99.2
Retail Sales Index Value Unadjusted,2020 January,Retail sale of furniture and lighting (4759),156.5
Retail Sales Index Value Unadjusted,2020 January,Bars (5630),74.0
Retail Sales Index Value Unadjusted,2020 January,All retail businesses,130.5
Retail Sales Index Value Unadjusted,2020 January,"Motor trades and automotive fuel (45,4730)",202.5
Retail Sales Index Value Unadjusted,2020 January,"All retail businesses, excluding motor trades and bars",98.8
Retail Sales Index Value Unadjusted,2020 January,"All retail businesses, excluding motor trades",97.3
Retail Sales Index Value Unadjusted,2020 January,"All retail businesses, excluding motor trades, automotive fuel and bars",98.3
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of food (4711,4721 to 4729)",104.2
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",93.0
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",85.7
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",123.0
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of electrical goods (4741 to 4743,4754)",113.6
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",81.6
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",80.5
Retail Sales Index Value Unadjusted,2020 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",81.0
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of books, newspapers and stationery (4761,4762)",77.2
Retail Sales Index Value Unadjusted,2020 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",96.6
Retail Sales Index Value Unadjusted,2020 February,Motor trades (45),172.9
Retail Sales Index Value Unadjusted,2020 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",113.7
Retail Sales Index Value Unadjusted,2020 February,Department stores (4719),70.3
Retail Sales Index Value Unadjusted,2020 February,Retail sale of automotive fuel (4730),112.5
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of hardware, paints and glass (4752)",108.6
Retail Sales Index Value Unadjusted,2020 February,Retail sale of furniture and lighting (4759),181.5
Retail Sales Index Value Unadjusted,2020 February,Bars (5630),88.6
Retail Sales Index Value Unadjusted,2020 February,All retail businesses,120.5
Retail Sales Index Value Unadjusted,2020 February,"Motor trades and automotive fuel (45,4730)",164.2
Retail Sales Index Value Unadjusted,2020 February,"All retail businesses, excluding motor trades and bars",101.3
Retail Sales Index Value Unadjusted,2020 February,"All retail businesses, excluding motor trades",100.5
Retail Sales Index Value Unadjusted,2020 February,"All retail businesses, excluding motor trades, automotive fuel and bars",100.5
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of food (4711,4721 to 4729)",110.4
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",91.5
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",83.2
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",126.2
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of electrical goods (4741 to 4743,4754)",90.3
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",81.7
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",72.8
Retail Sales Index Value Unadjusted,2020 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",71.5
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of books, newspapers and stationery (4761,4762)",79.8
Retail Sales Index Value Unadjusted,2020 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",96.8
Retail Sales Index Value Unadjusted,2020 March,Motor trades (45),93.4
Retail Sales Index Value Unadjusted,2020 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",127.7
Retail Sales Index Value Unadjusted,2020 March,Department stores (4719),51.9
Retail Sales Index Value Unadjusted,2020 March,Retail sale of automotive fuel (4730),91.8
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of hardware, paints and glass (4752)",125.6
Retail Sales Index Value Unadjusted,2020 March,Retail sale of furniture and lighting (4759),90.1
Retail Sales Index Value Unadjusted,2020 March,Bars (5630),42.7
Retail Sales Index Value Unadjusted,2020 March,All retail businesses,93.4
Retail Sales Index Value Unadjusted,2020 March,"Motor trades and automotive fuel (45,4730)",92.1
Retail Sales Index Value Unadjusted,2020 March,"All retail businesses, excluding motor trades and bars",99.6
Retail Sales Index Value Unadjusted,2020 March,"All retail businesses, excluding motor trades",95.7
Retail Sales Index Value Unadjusted,2020 March,"All retail businesses, excluding motor trades, automotive fuel and bars",99.9
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of food (4711,4721 to 4729)",125.0
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",78.7
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",102.6
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",107.8
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of electrical goods (4741 to 4743,4754)",103.3
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",47.8
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",67.2
Retail Sales Index Value Unadjusted,2020 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",68.6
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of books, newspapers and stationery (4761,4762)",54.8
Retail Sales Index Value Unadjusted,2020 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",107.0
Retail Sales Index Value Unadjusted,2020 April,Motor trades (45),26.7
Retail Sales Index Value Unadjusted,2020 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",134.0
Retail Sales Index Value Unadjusted,2020 April,Department stores (4719),18.3
Retail Sales Index Value Unadjusted,2020 April,Retail sale of automotive fuel (4730),55.6
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of hardware, paints and glass (4752)",67.9
Retail Sales Index Value Unadjusted,2020 April,Retail sale of furniture and lighting (4759),14.0
Retail Sales Index Value Unadjusted,2020 April,Bars (5630),7.9
Retail Sales Index Value Unadjusted,2020 April,All retail businesses,62.8
Retail Sales Index Value Unadjusted,2020 April,"Motor trades and automotive fuel (45,4730)",30.1
Retail Sales Index Value Unadjusted,2020 April,"All retail businesses, excluding motor trades and bars",82.1
Retail Sales Index Value Unadjusted,2020 April,"All retail businesses, excluding motor trades",77.1
Retail Sales Index Value Unadjusted,2020 April,"All retail businesses, excluding motor trades, automotive fuel and bars",83.6
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of food (4711,4721 to 4729)",131.4
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",45.1
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",110.2
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",48.1
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of electrical goods (4741 to 4743,4754)",54.3
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",17.7
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",41.1
Retail Sales Index Value Unadjusted,2020 April,"Other retail sales (4753,4763 to 4765,4776 to 4778)",43.3
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of books, newspapers and stationery (4761,4762)",22.5
Retail Sales Index Value Unadjusted,2020 April,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",90.1
Retail Sales Index Value Unadjusted,2020 May,Motor trades (45),53.0
Retail Sales Index Value Unadjusted,2020 May,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",130.5
Retail Sales Index Value Unadjusted,2020 May,Department stores (4719),35.9
Retail Sales Index Value Unadjusted,2020 May,Retail sale of automotive fuel (4730),69.6
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of hardware, paints and glass (4752)",153.2
Retail Sales Index Value Unadjusted,2020 May,Retail sale of furniture and lighting (4759),31.5
Retail Sales Index Value Unadjusted,2020 May,Bars (5630),9.3
Retail Sales Index Value Unadjusted,2020 May,All retail businesses,76.6
Retail Sales Index Value Unadjusted,2020 May,"Motor trades and automotive fuel (45,4730)",55.0
Retail Sales Index Value Unadjusted,2020 May,"All retail businesses, excluding motor trades and bars",92.4
Retail Sales Index Value Unadjusted,2020 May,"All retail businesses, excluding motor trades",86.9
Retail Sales Index Value Unadjusted,2020 May,"All retail businesses, excluding motor trades, automotive fuel and bars",93.5
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of food (4711,4721 to 4729)",127.7
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",64.8
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",105.3
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",81.8
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of electrical goods (4741 to 4743,4754)",74.3
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",21.6
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",73.2
Retail Sales Index Value Unadjusted,2020 May,"Other retail sales (4753,4763 to 4765,4776 to 4778)",80.1
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of books, newspapers and stationery (4761,4762)",16.6
Retail Sales Index Value Unadjusted,2020 May,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",93.4
Retail Sales Index Value Unadjusted,2020 June,Motor trades (45),85.0
Retail Sales Index Value Unadjusted,2020 June,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",125.6
Retail Sales Index Value Unadjusted,2020 June,Department stores (4719),70.8
Retail Sales Index Value Unadjusted,2020 June,Retail sale of automotive fuel (4730),88.7
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of hardware, paints and glass (4752)",176.9
Retail Sales Index Value Unadjusted,2020 June,Retail sale of furniture and lighting (4759),150.9
Retail Sales Index Value Unadjusted,2020 June,Bars (5630),20.7
Retail Sales Index Value Unadjusted,2020 June,All retail businesses,99.8
Retail Sales Index Value Unadjusted,2020 June,"Motor trades and automotive fuel (45,4730)",87.4
Retail Sales Index Value Unadjusted,2020 June,"All retail businesses, excluding motor trades and bars",110.9
Retail Sales Index Value Unadjusted,2020 June,"All retail businesses, excluding motor trades",105.0
Retail Sales Index Value Unadjusted,2020 June,"All retail businesses, excluding motor trades, automotive fuel and bars",111.9
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of food (4711,4721 to 4729)",123.7
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",101.8
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",108.4
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",139.2
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of electrical goods (4741 to 4743,4754)",108.5
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",83.8
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",91.1
Retail Sales Index Value Unadjusted,2020 June,"Other retail sales (4753,4763 to 4765,4776 to 4778)",91.4
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of books, newspapers and stationery (4761,4762)",65.2
Retail Sales Index Value Unadjusted,2020 June,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",106.9
Retail Sales Index Value Unadjusted,2020 July,Motor trades (45),171.6
Retail Sales Index Value Unadjusted,2020 July,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",124.1
Retail Sales Index Value Unadjusted,2020 July,Department stores (4719),69.6
Retail Sales Index Value Unadjusted,2020 July,Retail sale of automotive fuel (4730),97.7
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of hardware, paints and glass (4752)",158.2
Retail Sales Index Value Unadjusted,2020 July,Retail sale of furniture and lighting (4759),109.8
Retail Sales Index Value Unadjusted,2020 July,Bars (5630),58.2
Retail Sales Index Value Unadjusted,2020 July,All retail businesses,124.9
Retail Sales Index Value Unadjusted,2020 July,"Motor trades and automotive fuel (45,4730)",161.8
Retail Sales Index Value Unadjusted,2020 July,"All retail businesses, excluding motor trades and bars",109.9
Retail Sales Index Value Unadjusted,2020 July,"All retail businesses, excluding motor trades",106.8
Retail Sales Index Value Unadjusted,2020 July,"All retail businesses, excluding motor trades, automotive fuel and bars",110.5
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of food (4711,4721 to 4729)",122.8
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",100.2
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",113.0
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",122.4
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of electrical goods (4741 to 4743,4754)",115.5
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",110.3
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",76.8
Retail Sales Index Value Unadjusted,2020 July,"Other retail sales (4753,4763 to 4765,4776 to 4778)",74.5
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of books, newspapers and stationery (4761,4762)",79.1
Retail Sales Index Value Unadjusted,2020 July,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",109.1
Retail Sales Index Value Unadjusted,2020 August,Motor trades (45),113.7
Retail Sales Index Value Unadjusted,2020 August,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",119.4
Retail Sales Index Value Unadjusted,2020 August,Department stores (4719),76.6
Retail Sales Index Value Unadjusted,2020 August,Retail sale of automotive fuel (4730),93.7
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of hardware, paints and glass (4752)",149.1
Retail Sales Index Value Unadjusted,2020 August,Retail sale of furniture and lighting (4759),149.8
Retail Sales Index Value Unadjusted,2020 August,Bars (5630),76.7
Retail Sales Index Value Unadjusted,2020 August,All retail businesses,111.7
Retail Sales Index Value Unadjusted,2020 August,"Motor trades and automotive fuel (45,4730)",112.0
Retail Sales Index Value Unadjusted,2020 August,"All retail businesses, excluding motor trades and bars",112.7
Retail Sales Index Value Unadjusted,2020 August,"All retail businesses, excluding motor trades",110.4
Retail Sales Index Value Unadjusted,2020 August,"All retail businesses, excluding motor trades, automotive fuel and bars",113.7
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of food (4711,4721 to 4729)",118.7
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",109.5
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",112.9
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",139.8
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of electrical goods (4741 to 4743,4754)",127.8
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",102.8
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",95.5
Retail Sales Index Value Unadjusted,2020 August,"Other retail sales (4753,4763 to 4765,4776 to 4778)",89.4
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of books, newspapers and stationery (4761,4762)",109.6
Retail Sales Index Value Unadjusted,2020 August,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",112.2
Retail Sales Index Value Unadjusted,2020 September,Motor trades (45),112.3
Retail Sales Index Value Unadjusted,2020 September,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",121.8
Retail Sales Index Value Unadjusted,2020 September,Department stores (4719),77.4
Retail Sales Index Value Unadjusted,2020 September,Retail sale of automotive fuel (4730),99.5
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of hardware, paints and glass (4752)",157.2
Retail Sales Index Value Unadjusted,2020 September,Retail sale of furniture and lighting (4759),164.3
Retail Sales Index Value Unadjusted,2020 September,Bars (5630),61.8
Retail Sales Index Value Unadjusted,2020 September,All retail businesses,113.8
Retail Sales Index Value Unadjusted,2020 September,"Motor trades and automotive fuel (45,4730)",112.0
Retail Sales Index Value Unadjusted,2020 September,"All retail businesses, excluding motor trades and bars",116.7
Retail Sales Index Value Unadjusted,2020 September,"All retail businesses, excluding motor trades",113.4
Retail Sales Index Value Unadjusted,2020 September,"All retail businesses, excluding motor trades, automotive fuel and bars",117.6
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of food (4711,4721 to 4729)",121.0
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",114.8
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",114.9
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",156.3
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of electrical goods (4741 to 4743,4754)",147.5
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",93.6
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",106.8
Retail Sales Index Value Unadjusted,2020 September,"Other retail sales (4753,4763 to 4765,4776 to 4778)",106.0
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of books, newspapers and stationery (4761,4762)",98.8
Retail Sales Index Value Unadjusted,2020 September,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",117.5
Retail Sales Index Value Unadjusted,2020 October,Motor trades (45),78.7
Retail Sales Index Value Unadjusted,2020 October,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",132.3
Retail Sales Index Value Unadjusted,2020 October,Department stores (4719),77.0
Retail Sales Index Value Unadjusted,2020 October,Retail sale of automotive fuel (4730),83.8
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of hardware, paints and glass (4752)",153.0
Retail Sales Index Value Unadjusted,2020 October,Retail sale of furniture and lighting (4759),132.8
Retail Sales Index Value Unadjusted,2020 October,Bars (5630),27.0
Retail Sales Index Value Unadjusted,2020 October,All retail businesses,103.0
Retail Sales Index Value Unadjusted,2020 October,"Motor trades and automotive fuel (45,4730)",81.5
Retail Sales Index Value Unadjusted,2020 October,"All retail businesses, excluding motor trades and bars",116.9
Retail Sales Index Value Unadjusted,2020 October,"All retail businesses, excluding motor trades",111.4
Retail Sales Index Value Unadjusted,2020 October,"All retail businesses, excluding motor trades, automotive fuel and bars",118.9
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of food (4711,4721 to 4729)",131.8
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",107.8
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",127.9
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",141.4
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of electrical goods (4741 to 4743,4754)",141.5
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",85.4
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",94.0
Retail Sales Index Value Unadjusted,2020 October,"Other retail sales (4753,4763 to 4765,4776 to 4778)",95.8
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of books, newspapers and stationery (4761,4762)",83.8
Retail Sales Index Value Unadjusted,2020 October,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",127.1
Retail Sales Index Value Unadjusted,2020 November,Motor trades (45),55.3
Retail Sales Index Value Unadjusted,2020 November,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",132.6
Retail Sales Index Value Unadjusted,2020 November,Department stores (4719),76.6
Retail Sales Index Value Unadjusted,2020 November,Retail sale of automotive fuel (4730),89.5
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of hardware, paints and glass (4752)",146.6
Retail Sales Index Value Unadjusted,2020 November,Retail sale of furniture and lighting (4759),107.6
Retail Sales Index Value Unadjusted,2020 November,Bars (5630),8.8
Retail Sales Index Value Unadjusted,2020 November,All retail businesses,95.6
Retail Sales Index Value Unadjusted,2020 November,"Motor trades and automotive fuel (45,4730)",61.7
Retail Sales Index Value Unadjusted,2020 November,"All retail businesses, excluding motor trades and bars",115.9
Retail Sales Index Value Unadjusted,2020 November,"All retail businesses, excluding motor trades",109.6
Retail Sales Index Value Unadjusted,2020 November,"All retail businesses, excluding motor trades, automotive fuel and bars",117.6
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of food (4711,4721 to 4729)",131.0
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",107.1
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",117.7
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",153.6
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of electrical goods (4741 to 4743,4754)",181.5
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",48.5
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",114.8
Retail Sales Index Value Unadjusted,2020 November,"Other retail sales (4753,4763 to 4765,4776 to 4778)",122.3
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of books, newspapers and stationery (4761,4762)",79.9
Retail Sales Index Value Unadjusted,2020 November,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",127.8
Retail Sales Index Value Unadjusted,2020 December,Motor trades (45),46.7
Retail Sales Index Value Unadjusted,2020 December,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",150.2
Retail Sales Index Value Unadjusted,2020 December,Department stores (4719),159.6
Retail Sales Index Value Unadjusted,2020 December,Retail sale of automotive fuel (4730),92.5
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of hardware, paints and glass (4752)",148.9
Retail Sales Index Value Unadjusted,2020 December,Retail sale of furniture and lighting (4759),194.9
Retail Sales Index Value Unadjusted,2020 December,Bars (5630),50.8
Retail Sales Index Value Unadjusted,2020 December,All retail businesses,128.5
Retail Sales Index Value Unadjusted,2020 December,"Motor trades and automotive fuel (45,4730)",55.5
Retail Sales Index Value Unadjusted,2020 December,"All retail businesses, excluding motor trades and bars",163.8
Retail Sales Index Value Unadjusted,2020 December,"All retail businesses, excluding motor trades",156.5
Retail Sales Index Value Unadjusted,2020 December,"All retail businesses, excluding motor trades, automotive fuel and bars",168.9
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of food (4711,4721 to 4729)",152.0
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",184.7
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",169.4
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",182.6
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of electrical goods (4741 to 4743,4754)",216.3
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",186.0
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",213.7
Retail Sales Index Value Unadjusted,2020 December,"Other retail sales (4753,4763 to 4765,4776 to 4778)",226.1
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of books, newspapers and stationery (4761,4762)",156.4
Retail Sales Index Value Unadjusted,2020 December,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",186.5
Retail Sales Index Value Unadjusted,2021 January,Motor trades (45),176.6
Retail Sales Index Value Unadjusted,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",114.7
Retail Sales Index Value Unadjusted,2021 January,Department stores (4719),37.8
Retail Sales Index Value Unadjusted,2021 January,Retail sale of automotive fuel (4730),72.8
Retail Sales Index Value Unadjusted,2021 January,"Retail sale of hardware, paints and glass (4752)",98.6
Retail Sales Index Value Unadjusted,2021 January,Retail sale of furniture and lighting (4759),103.5
Retail Sales Index Value Unadjusted,2021 January,Bars (5630),7.5
Retail Sales Index Value Unadjusted,2021 January,All retail businesses,109.1
Retail Sales Index Value Unadjusted,2021 January,"Motor trades and automotive fuel (45,4730)",161.8
