Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Price Index (Excl VAT),2022 December,"Food products, beverages and tobacco (10 to 12)",107.8
Industrial Price Index (Excl VAT),2022 December,"Manufacturing, excluding food (11 to 33)",82.3
Industrial Price Index (Excl VAT),2022 December,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2022 December,Capital goods,
Industrial Price Index (Excl VAT),2022 December,Durable consumer goods,
Industrial Price Index (Excl VAT),2022 December,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2022 December,Manufacturing industries (home sales),114.9
Industrial Price Index (Excl VAT),2022 December,Manufacturing industries (export sales),84.4
Industrial Price Index (Excl VAT),2022 December,Manufacturing industries (10 to 33),85.6
Industrial Price Index (Excl VAT),2022 December,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2022 December,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",82.1
Industrial Price Index (Excl VAT),2023 January,Food products (10),110.2
Industrial Price Index (Excl VAT),2023 January,Meat and meat products (101),119.0
Industrial Price Index (Excl VAT),2023 January,"Fish, crustaceans and molluscs (102)",154.9
Industrial Price Index (Excl VAT),2023 January,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 January,"Vegetable, animal oils and fats (104)",98.0
Industrial Price Index (Excl VAT),2023 January,Dairy products (105),174.2
Industrial Price Index (Excl VAT),2023 January,"Grain mill and starch products, prepared animal feeds (106,109)",125.2
Industrial Price Index (Excl VAT),2023 January,Bakery and farinaceous products (107),97.8
Industrial Price Index (Excl VAT),2023 January,Other food products (108),91.7
Industrial Price Index (Excl VAT),2023 January,Manufacture of beverages (11),107.6
Industrial Price Index (Excl VAT),2023 January,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 January,Textiles (13),106.0
Industrial Price Index (Excl VAT),2023 January,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 January,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 January,"Wood and wood products, except furniture (16)",161.2
Industrial Price Index (Excl VAT),2023 January,Paper and paper products (17),104.3
Industrial Price Index (Excl VAT),2023 January,Printing and reproduction of recorded media (18),104.0
Industrial Price Index (Excl VAT),2023 January,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 January,Chemicals and chemical products (20),101.0
Industrial Price Index (Excl VAT),2023 January,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 January,Rubber and plastic products (22),116.1
Industrial Price Index (Excl VAT),2023 January,Other non-metallic mineral products (23),140.0
Industrial Price Index (Excl VAT),2023 January,Basic metals (24),125.4
Industrial Price Index (Excl VAT),2023 January,"Fabricated metal products, except machinery and equipment (25)",115.3
Industrial Price Index (Excl VAT),2023 January,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 January,Electrical equipment (27),101.3
Industrial Price Index (Excl VAT),2023 January,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 January,"Motor vehicles, trailers and semi-trailers (29)",107.7
Industrial Price Index (Excl VAT),2023 January,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 January,Furniture (31),129.0
Industrial Price Index (Excl VAT),2023 January,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 January,Mining and quarrying (05 to 09),128.2
Industrial Price Index (Excl VAT),2023 January,Transportable goods industries (05 to 33),86.9
Industrial Price Index (Excl VAT),2023 January,"Food products, beverages and tobacco (10 to 12)",109.5
Industrial Price Index (Excl VAT),2023 January,"Manufacturing, excluding food (11 to 33)",83.3
Industrial Price Index (Excl VAT),2023 January,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 January,Capital goods,
Industrial Price Index (Excl VAT),2023 January,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 January,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 January,Manufacturing industries (home sales),116.8
Industrial Price Index (Excl VAT),2023 January,Manufacturing industries (export sales),85.4
Industrial Price Index (Excl VAT),2023 January,Manufacturing industries (10 to 33),86.7
Industrial Price Index (Excl VAT),2023 January,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 January,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",83.1
Industrial Price Index (Excl VAT),2023 February,Food products (10),110.2
Industrial Price Index (Excl VAT),2023 February,Meat and meat products (101),118.3
Industrial Price Index (Excl VAT),2023 February,"Fish, crustaceans and molluscs (102)",157.2
Industrial Price Index (Excl VAT),2023 February,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 February,"Vegetable, animal oils and fats (104)",98.0
Industrial Price Index (Excl VAT),2023 February,Dairy products (105),175.5
Industrial Price Index (Excl VAT),2023 February,"Grain mill and starch products, prepared animal feeds (106,109)",125.8
Industrial Price Index (Excl VAT),2023 February,Bakery and farinaceous products (107),98.9
Industrial Price Index (Excl VAT),2023 February,Other food products (108),91.7
Industrial Price Index (Excl VAT),2023 February,Manufacture of beverages (11),107.6
Industrial Price Index (Excl VAT),2023 February,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 February,Textiles (13),106.0
Industrial Price Index (Excl VAT),2023 February,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 February,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 February,"Wood and wood products, except furniture (16)",159.7
Industrial Price Index (Excl VAT),2023 February,Paper and paper products (17),104.6
Industrial Price Index (Excl VAT),2023 February,Printing and reproduction of recorded media (18),104.0
Industrial Price Index (Excl VAT),2023 February,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 February,Chemicals and chemical products (20),101.3
Industrial Price Index (Excl VAT),2023 February,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 February,Rubber and plastic products (22),116.2
Industrial Price Index (Excl VAT),2023 February,Other non-metallic mineral products (23),139.8
Industrial Price Index (Excl VAT),2023 February,Basic metals (24),125.7
Industrial Price Index (Excl VAT),2023 February,"Fabricated metal products, except machinery and equipment (25)",115.3
Industrial Price Index (Excl VAT),2023 February,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 February,Electrical equipment (27),101.3
Industrial Price Index (Excl VAT),2023 February,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 February,"Motor vehicles, trailers and semi-trailers (29)",107.7
Industrial Price Index (Excl VAT),2023 February,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 February,Furniture (31),129.7
Industrial Price Index (Excl VAT),2023 February,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 February,Mining and quarrying (05 to 09),127.3
Industrial Price Index (Excl VAT),2023 February,Transportable goods industries (05 to 33),86.9
Industrial Price Index (Excl VAT),2023 February,"Food products, beverages and tobacco (10 to 12)",109.6
Industrial Price Index (Excl VAT),2023 February,"Manufacturing, excluding food (11 to 33)",83.3
Industrial Price Index (Excl VAT),2023 February,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 February,Capital goods,
Industrial Price Index (Excl VAT),2023 February,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 February,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 February,Manufacturing industries (home sales),116.9
Industrial Price Index (Excl VAT),2023 February,Manufacturing industries (export sales),85.4
Industrial Price Index (Excl VAT),2023 February,Manufacturing industries (10 to 33),86.7
Industrial Price Index (Excl VAT),2023 February,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 February,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",83.1
Industrial Price Index (Excl VAT),2023 March,Food products (10),109.9
Industrial Price Index (Excl VAT),2023 March,Meat and meat products (101),118.5
Industrial Price Index (Excl VAT),2023 March,"Fish, crustaceans and molluscs (102)",156.9
Industrial Price Index (Excl VAT),2023 March,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 March,"Vegetable, animal oils and fats (104)",99.4
Industrial Price Index (Excl VAT),2023 March,Dairy products (105),167.8
Industrial Price Index (Excl VAT),2023 March,"Grain mill and starch products, prepared animal feeds (106,109)",125.6
Industrial Price Index (Excl VAT),2023 March,Bakery and farinaceous products (107),99.2
Industrial Price Index (Excl VAT),2023 March,Other food products (108),92.4
Industrial Price Index (Excl VAT),2023 March,Manufacture of beverages (11),108.2
Industrial Price Index (Excl VAT),2023 March,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 March,Textiles (13),106.0
Industrial Price Index (Excl VAT),2023 March,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 March,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 March,"Wood and wood products, except furniture (16)",158.6
Industrial Price Index (Excl VAT),2023 March,Paper and paper products (17),104.8
Industrial Price Index (Excl VAT),2023 March,Printing and reproduction of recorded media (18),105.1
Industrial Price Index (Excl VAT),2023 March,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 March,Chemicals and chemical products (20),101.2
Industrial Price Index (Excl VAT),2023 March,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 March,Rubber and plastic products (22),117.9
Industrial Price Index (Excl VAT),2023 March,Other non-metallic mineral products (23),141.7
Industrial Price Index (Excl VAT),2023 March,Basic metals (24),126.1
Industrial Price Index (Excl VAT),2023 March,"Fabricated metal products, except machinery and equipment (25)",115.6
Industrial Price Index (Excl VAT),2023 March,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 March,Electrical equipment (27),103.2
Industrial Price Index (Excl VAT),2023 March,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 March,"Motor vehicles, trailers and semi-trailers (29)",107.8
Industrial Price Index (Excl VAT),2023 March,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 March,Furniture (31),130.1
Industrial Price Index (Excl VAT),2023 March,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 March,Mining and quarrying (05 to 09),127.7
Industrial Price Index (Excl VAT),2023 March,Transportable goods industries (05 to 33),87.2
Industrial Price Index (Excl VAT),2023 March,"Food products, beverages and tobacco (10 to 12)",109.4
Industrial Price Index (Excl VAT),2023 March,"Manufacturing, excluding food (11 to 33)",83.7
Industrial Price Index (Excl VAT),2023 March,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 March,Capital goods,
Industrial Price Index (Excl VAT),2023 March,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 March,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 March,Manufacturing industries (home sales),115.9
Industrial Price Index (Excl VAT),2023 March,Manufacturing industries (export sales),85.8
Industrial Price Index (Excl VAT),2023 March,Manufacturing industries (10 to 33),87.1
Industrial Price Index (Excl VAT),2023 March,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 March,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",83.5
Industrial Price Index (Excl VAT),2023 April,Food products (10),107.5
Industrial Price Index (Excl VAT),2023 April,Meat and meat products (101),118.0
Industrial Price Index (Excl VAT),2023 April,"Fish, crustaceans and molluscs (102)",155.2
Industrial Price Index (Excl VAT),2023 April,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 April,"Vegetable, animal oils and fats (104)",97.8
Industrial Price Index (Excl VAT),2023 April,Dairy products (105),163.8
Industrial Price Index (Excl VAT),2023 April,"Grain mill and starch products, prepared animal feeds (106,109)",124.0
Industrial Price Index (Excl VAT),2023 April,Bakery and farinaceous products (107),98.8
Industrial Price Index (Excl VAT),2023 April,Other food products (108),89.1
Industrial Price Index (Excl VAT),2023 April,Manufacture of beverages (11),108.7
Industrial Price Index (Excl VAT),2023 April,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 April,Textiles (13),106.0
Industrial Price Index (Excl VAT),2023 April,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 April,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 April,"Wood and wood products, except furniture (16)",158.1
Industrial Price Index (Excl VAT),2023 April,Paper and paper products (17),104.6
Industrial Price Index (Excl VAT),2023 April,Printing and reproduction of recorded media (18),105.1
Industrial Price Index (Excl VAT),2023 April,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 April,Chemicals and chemical products (20),101.0
Industrial Price Index (Excl VAT),2023 April,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 April,Rubber and plastic products (22),117.5
Industrial Price Index (Excl VAT),2023 April,Other non-metallic mineral products (23),139.8
Industrial Price Index (Excl VAT),2023 April,Basic metals (24),124.7
Industrial Price Index (Excl VAT),2023 April,"Fabricated metal products, except machinery and equipment (25)",115.4
Industrial Price Index (Excl VAT),2023 April,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 April,Electrical equipment (27),102.7
Industrial Price Index (Excl VAT),2023 April,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 April,"Motor vehicles, trailers and semi-trailers (29)",107.7
Industrial Price Index (Excl VAT),2023 April,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 April,Furniture (31),130.0
Industrial Price Index (Excl VAT),2023 April,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 April,Mining and quarrying (05 to 09),126.9
Industrial Price Index (Excl VAT),2023 April,Transportable goods industries (05 to 33),86.3
Industrial Price Index (Excl VAT),2023 April,"Food products, beverages and tobacco (10 to 12)",107.1
Industrial Price Index (Excl VAT),2023 April,"Manufacturing, excluding food (11 to 33)",83.1
Industrial Price Index (Excl VAT),2023 April,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 April,Capital goods,
Industrial Price Index (Excl VAT),2023 April,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 April,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 April,Manufacturing industries (home sales),115.7
Industrial Price Index (Excl VAT),2023 April,Manufacturing industries (export sales),84.9
Industrial Price Index (Excl VAT),2023 April,Manufacturing industries (10 to 33),86.2
Industrial Price Index (Excl VAT),2023 April,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 April,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",82.8
Industrial Price Index (Excl VAT),2023 May,Food products (10),106.7
Industrial Price Index (Excl VAT),2023 May,Meat and meat products (101),118.5
Industrial Price Index (Excl VAT),2023 May,"Fish, crustaceans and molluscs (102)",154.9
Industrial Price Index (Excl VAT),2023 May,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 May,"Vegetable, animal oils and fats (104)",92.8
Industrial Price Index (Excl VAT),2023 May,Dairy products (105),151.8
Industrial Price Index (Excl VAT),2023 May,"Grain mill and starch products, prepared animal feeds (106,109)",122.7
Industrial Price Index (Excl VAT),2023 May,Bakery and farinaceous products (107),99.1
Industrial Price Index (Excl VAT),2023 May,Other food products (108),89.8
Industrial Price Index (Excl VAT),2023 May,Manufacture of beverages (11),110.1
Industrial Price Index (Excl VAT),2023 May,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 May,Textiles (13),106.1
Industrial Price Index (Excl VAT),2023 May,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 May,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 May,"Wood and wood products, except furniture (16)",154.9
Industrial Price Index (Excl VAT),2023 May,Paper and paper products (17),104.8
Industrial Price Index (Excl VAT),2023 May,Printing and reproduction of recorded media (18),105.3
Industrial Price Index (Excl VAT),2023 May,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 May,Chemicals and chemical products (20),100.6
Industrial Price Index (Excl VAT),2023 May,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 May,Rubber and plastic products (22),118.3
Industrial Price Index (Excl VAT),2023 May,Other non-metallic mineral products (23),142.8
Industrial Price Index (Excl VAT),2023 May,Basic metals (24),124.2
Industrial Price Index (Excl VAT),2023 May,"Fabricated metal products, except machinery and equipment (25)",116.2
Industrial Price Index (Excl VAT),2023 May,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 May,Electrical equipment (27),103.0
Industrial Price Index (Excl VAT),2023 May,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 May,"Motor vehicles, trailers and semi-trailers (29)",107.8
Industrial Price Index (Excl VAT),2023 May,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 May,Furniture (31),130.1
Industrial Price Index (Excl VAT),2023 May,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 May,Mining and quarrying (05 to 09),123.9
Industrial Price Index (Excl VAT),2023 May,Transportable goods industries (05 to 33),86.4
Industrial Price Index (Excl VAT),2023 May,"Food products, beverages and tobacco (10 to 12)",106.5
Industrial Price Index (Excl VAT),2023 May,"Manufacturing, excluding food (11 to 33)",83.3
Industrial Price Index (Excl VAT),2023 May,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 May,Capital goods,
Industrial Price Index (Excl VAT),2023 May,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 May,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 May,Manufacturing industries (home sales),114.7
Industrial Price Index (Excl VAT),2023 May,Manufacturing industries (export sales),85.0
Industrial Price Index (Excl VAT),2023 May,Manufacturing industries (10 to 33),86.2
Industrial Price Index (Excl VAT),2023 May,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 May,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",83.0
Industrial Price Index (Excl VAT),2023 June,Food products (10),104.8
Industrial Price Index (Excl VAT),2023 June,Meat and meat products (101),118.8
Industrial Price Index (Excl VAT),2023 June,"Fish, crustaceans and molluscs (102)",154.0
Industrial Price Index (Excl VAT),2023 June,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 June,"Vegetable, animal oils and fats (104)",94.0
Industrial Price Index (Excl VAT),2023 June,Dairy products (105),148.6
Industrial Price Index (Excl VAT),2023 June,"Grain mill and starch products, prepared animal feeds (106,109)",121.8
Industrial Price Index (Excl VAT),2023 June,Bakery and farinaceous products (107),99.2
Industrial Price Index (Excl VAT),2023 June,Other food products (108),86.7
Industrial Price Index (Excl VAT),2023 June,Manufacture of beverages (11),118.8
Industrial Price Index (Excl VAT),2023 June,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 June,Textiles (13),106.1
Industrial Price Index (Excl VAT),2023 June,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 June,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 June,"Wood and wood products, except furniture (16)",155.0
Industrial Price Index (Excl VAT),2023 June,Paper and paper products (17),105.1
Industrial Price Index (Excl VAT),2023 June,Printing and reproduction of recorded media (18),105.7
Industrial Price Index (Excl VAT),2023 June,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 June,Chemicals and chemical products (20),100.8
Industrial Price Index (Excl VAT),2023 June,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 June,Rubber and plastic products (22),121.1
Industrial Price Index (Excl VAT),2023 June,Other non-metallic mineral products (23),144.7
Industrial Price Index (Excl VAT),2023 June,Basic metals (24),124.0
Industrial Price Index (Excl VAT),2023 June,"Fabricated metal products, except machinery and equipment (25)",116.7
Industrial Price Index (Excl VAT),2023 June,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 June,Electrical equipment (27),103.2
Industrial Price Index (Excl VAT),2023 June,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 June,"Motor vehicles, trailers and semi-trailers (29)",107.8
Industrial Price Index (Excl VAT),2023 June,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 June,Furniture (31),128.4
Industrial Price Index (Excl VAT),2023 June,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 June,Mining and quarrying (05 to 09),124.6
Industrial Price Index (Excl VAT),2023 June,Transportable goods industries (05 to 33),86.7
Industrial Price Index (Excl VAT),2023 June,"Food products, beverages and tobacco (10 to 12)",105.2
Industrial Price Index (Excl VAT),2023 June,"Manufacturing, excluding food (11 to 33)",83.9
Industrial Price Index (Excl VAT),2023 June,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 June,Capital goods,
Industrial Price Index (Excl VAT),2023 June,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 June,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 June,Manufacturing industries (home sales),113.9
Industrial Price Index (Excl VAT),2023 June,Manufacturing industries (export sales),85.4
Industrial Price Index (Excl VAT),2023 June,Manufacturing industries (10 to 33),86.6
Industrial Price Index (Excl VAT),2023 June,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 June,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",83.6
Industrial Price Index (Excl VAT),2023 July,Food products (10),101.9
Industrial Price Index (Excl VAT),2023 July,Meat and meat products (101),117.5
Industrial Price Index (Excl VAT),2023 July,"Fish, crustaceans and molluscs (102)",152.9
Industrial Price Index (Excl VAT),2023 July,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 July,"Vegetable, animal oils and fats (104)",93.3
Industrial Price Index (Excl VAT),2023 July,Dairy products (105),145.7
Industrial Price Index (Excl VAT),2023 July,"Grain mill and starch products, prepared animal feeds (106,109)",120.3
Industrial Price Index (Excl VAT),2023 July,Bakery and farinaceous products (107),98.9
Industrial Price Index (Excl VAT),2023 July,Other food products (108),82.8
Industrial Price Index (Excl VAT),2023 July,Manufacture of beverages (11),117.6
Industrial Price Index (Excl VAT),2023 July,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 July,Textiles (13),106.1
Industrial Price Index (Excl VAT),2023 July,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 July,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 July,"Wood and wood products, except furniture (16)",151.8
Industrial Price Index (Excl VAT),2023 July,Paper and paper products (17),104.3
Industrial Price Index (Excl VAT),2023 July,Printing and reproduction of recorded media (18),105.7
Industrial Price Index (Excl VAT),2023 July,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 July,Chemicals and chemical products (20),100.8
Industrial Price Index (Excl VAT),2023 July,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 July,Rubber and plastic products (22),120.8
Industrial Price Index (Excl VAT),2023 July,Other non-metallic mineral products (23),145.6
Industrial Price Index (Excl VAT),2023 July,Basic metals (24),122.6
Industrial Price Index (Excl VAT),2023 July,"Fabricated metal products, except machinery and equipment (25)",116.2
Industrial Price Index (Excl VAT),2023 July,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 July,Electrical equipment (27),103.0
Industrial Price Index (Excl VAT),2023 July,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 July,"Motor vehicles, trailers and semi-trailers (29)",107.8
Industrial Price Index (Excl VAT),2023 July,Other transport equipment (30),114.8
Industrial Price Index (Excl VAT),2023 July,Furniture (31),129.7
Industrial Price Index (Excl VAT),2023 July,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 July,Mining and quarrying (05 to 09),123.5
Industrial Price Index (Excl VAT),2023 July,Transportable goods industries (05 to 33),84.7
Industrial Price Index (Excl VAT),2023 July,"Food products, beverages and tobacco (10 to 12)",102.3
Industrial Price Index (Excl VAT),2023 July,"Manufacturing, excluding food (11 to 33)",82.1
Industrial Price Index (Excl VAT),2023 July,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 July,Capital goods,
Industrial Price Index (Excl VAT),2023 July,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 July,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 July,Manufacturing industries (home sales),112.4
Industrial Price Index (Excl VAT),2023 July,Manufacturing industries (export sales),83.4
Industrial Price Index (Excl VAT),2023 July,Manufacturing industries (10 to 33),84.6
Industrial Price Index (Excl VAT),2023 July,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 July,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",81.7
Industrial Price Index (Excl VAT),2023 August,Food products (10),101.8
Industrial Price Index (Excl VAT),2023 August,Meat and meat products (101),117.2
Industrial Price Index (Excl VAT),2023 August,"Fish, crustaceans and molluscs (102)",153.0
Industrial Price Index (Excl VAT),2023 August,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 August,"Vegetable, animal oils and fats (104)",92.9
Industrial Price Index (Excl VAT),2023 August,Dairy products (105),140.6
Industrial Price Index (Excl VAT),2023 August,"Grain mill and starch products, prepared animal feeds (106,109)",120.0
Industrial Price Index (Excl VAT),2023 August,Bakery and farinaceous products (107),98.9
Industrial Price Index (Excl VAT),2023 August,Other food products (108),83.7
Industrial Price Index (Excl VAT),2023 August,Manufacture of beverages (11),118.4
Industrial Price Index (Excl VAT),2023 August,Tobacco products (12),
Industrial Price Index (Excl VAT),2023 August,Textiles (13),106.1
Industrial Price Index (Excl VAT),2023 August,Wearing apparel (14),118.9
Industrial Price Index (Excl VAT),2023 August,Leather and related products (15),102.7
Industrial Price Index (Excl VAT),2023 August,"Wood and wood products, except furniture (16)",153.8
Industrial Price Index (Excl VAT),2023 August,Paper and paper products (17),104.2
Industrial Price Index (Excl VAT),2023 August,Printing and reproduction of recorded media (18),105.9
Industrial Price Index (Excl VAT),2023 August,Coke and refined petroleum products (19),
Industrial Price Index (Excl VAT),2023 August,Chemicals and chemical products (20),100.9
Industrial Price Index (Excl VAT),2023 August,Basic pharmaceutical products and preparations (21),
Industrial Price Index (Excl VAT),2023 August,Rubber and plastic products (22),119.6
Industrial Price Index (Excl VAT),2023 August,Other non-metallic mineral products (23),145.1
Industrial Price Index (Excl VAT),2023 August,Basic metals (24),122.7
Industrial Price Index (Excl VAT),2023 August,"Fabricated metal products, except machinery and equipment (25)",116.1
Industrial Price Index (Excl VAT),2023 August,"Computer, electronic and optical products (26)",
Industrial Price Index (Excl VAT),2023 August,Electrical equipment (27),103.2
Industrial Price Index (Excl VAT),2023 August,Machinery and equipment n.e.c. (28),
Industrial Price Index (Excl VAT),2023 August,"Motor vehicles, trailers and semi-trailers (29)",107.9
Industrial Price Index (Excl VAT),2023 August,Other transport equipment (30),115.4
Industrial Price Index (Excl VAT),2023 August,Furniture (31),129.7
Industrial Price Index (Excl VAT),2023 August,Other manufacturing (32),
Industrial Price Index (Excl VAT),2023 August,Mining and quarrying (05 to 09),124.5
Industrial Price Index (Excl VAT),2023 August,Transportable goods industries (05 to 33),87.0
Industrial Price Index (Excl VAT),2023 August,"Food products, beverages and tobacco (10 to 12)",102.3
Industrial Price Index (Excl VAT),2023 August,"Manufacturing, excluding food (11 to 33)",84.8
Industrial Price Index (Excl VAT),2023 August,Intermediate goods (except energy),
Industrial Price Index (Excl VAT),2023 August,Capital goods,
Industrial Price Index (Excl VAT),2023 August,Durable consumer goods,
Industrial Price Index (Excl VAT),2023 August,Non-durable consumer goods,
Industrial Price Index (Excl VAT),2023 August,Manufacturing industries (home sales),112.0
Industrial Price Index (Excl VAT),2023 August,Manufacturing industries (export sales),85.8
Industrial Price Index (Excl VAT),2023 August,Manufacturing industries (10 to 33),86.9
Industrial Price Index (Excl VAT),2023 August,Repair and installation of machinery and equipment (33),
Industrial Price Index (Excl VAT),2023 August,"Manufacturing, excluding food, beverages and tobacco (13 to 33)",84.4
Industrial Price Index (Excl VAT),2023 September,Food products (10),102.0
Industrial Price Index (Excl VAT),2023 September,Meat and meat products (101),117.2
Industrial Price Index (Excl VAT),2023 September,"Fish, crustaceans and molluscs (102)",153.4
Industrial Price Index (Excl VAT),2023 September,Fruit and vegetables (103),116.0
Industrial Price Index (Excl VAT),2023 September,"Vegetable, animal oils and fats (104)",93.0
