,Statistic,Month,NACE.Rev.2.Sector,value
2029,Percentage Change over 1 month for Services Index,2021M06,Administrative & Support Service Activities (N (excl. 7735)),9.0
2030,Percentage Change over 1 month for Services Index,2021M06,"Other Service Activities (L, 92, 93, 95, 96)",33.0
2031,Percentage Change over 1 month for Services Index,2021M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",24.3
2032,Percentage Change over 1 month for Services Index,2021M06,Wholesale Trade (46),6.7
2033,Percentage Change over 1 month for Services Index,2021M06,Accommodation (55),529.1
2034,Percentage Change over 1 month for Services Index,2021M06,"Food Service Activities (561, 562)",3.4
2035,Percentage Change over 1 month for Services Index,2021M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-3.4
2036,Percentage Change over 1 month for Services Index,2021M07,Transportation & Storage (H),13.0
2037,Percentage Change over 1 month for Services Index,2021M07,Accommodation & Food Service Activities (I),29.4
2038,Percentage Change over 1 month for Services Index,2021M07,Information & Communication (J),-27.9
2039,Percentage Change over 1 month for Services Index,2021M07,"Professional, Scientific & Technical Activities (M)",14.7
2040,Percentage Change over 1 month for Services Index,2021M07,Administrative & Support Service Activities (N (excl. 7735)),3.0
2041,Percentage Change over 1 month for Services Index,2021M07,"Other Service Activities (L, 92, 93, 95, 96)",3.1
2042,Percentage Change over 1 month for Services Index,2021M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-12.8
2043,Percentage Change over 1 month for Services Index,2021M07,Wholesale Trade (46),-11.4
2044,Percentage Change over 1 month for Services Index,2021M07,Accommodation (55),36.1
2045,Percentage Change over 1 month for Services Index,2021M07,"Food Service Activities (561, 562)",32.3
2046,Percentage Change over 1 month for Services Index,2021M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.8
2047,Percentage Change over 1 month for Services Index,2021M08,Transportation & Storage (H),7.9
2048,Percentage Change over 1 month for Services Index,2021M08,Accommodation & Food Service Activities (I),22.2
2049,Percentage Change over 1 month for Services Index,2021M08,Information & Communication (J),1.3
2050,Percentage Change over 1 month for Services Index,2021M08,"Professional, Scientific & Technical Activities (M)",-9.9
2051,Percentage Change over 1 month for Services Index,2021M08,Administrative & Support Service Activities (N (excl. 7735)),-2.3
2052,Percentage Change over 1 month for Services Index,2021M08,"Other Service Activities (L, 92, 93, 95, 96)",-1.4
2053,Percentage Change over 1 month for Services Index,2021M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.6
2054,Percentage Change over 1 month for Services Index,2021M08,Wholesale Trade (46),1.6
2055,Percentage Change over 1 month for Services Index,2021M08,Accommodation (55),7.4
2056,Percentage Change over 1 month for Services Index,2021M08,"Food Service Activities (561, 562)",22.7
2057,Percentage Change over 1 month for Services Index,2021M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),5.8
2058,Percentage Change over 1 month for Services Index,2021M09,Transportation & Storage (H),-0.3
2059,Percentage Change over 1 month for Services Index,2021M09,Accommodation & Food Service Activities (I),-6.9
2060,Percentage Change over 1 month for Services Index,2021M09,Information & Communication (J),30.1
2061,Percentage Change over 1 month for Services Index,2021M09,"Professional, Scientific & Technical Activities (M)",10.9
2062,Percentage Change over 1 month for Services Index,2021M09,Administrative & Support Service Activities (N (excl. 7735)),5.6
2063,Percentage Change over 1 month for Services Index,2021M09,"Other Service Activities (L, 92, 93, 95, 96)",10.9
2064,Percentage Change over 1 month for Services Index,2021M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",16.5
2065,Percentage Change over 1 month for Services Index,2021M09,Wholesale Trade (46),12.0
2066,Percentage Change over 1 month for Services Index,2021M09,Accommodation (55),-18.8
2067,Percentage Change over 1 month for Services Index,2021M09,"Food Service Activities (561, 562)",-3.8
2068,Percentage Change over 1 month for Services Index,2021M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-4.4
2069,Percentage Change over 1 month for Services Index,2021M10,Transportation & Storage (H),6.8
2070,Percentage Change over 1 month for Services Index,2021M10,Accommodation & Food Service Activities (I),6.8
2071,Percentage Change over 1 month for Services Index,2021M10,Information & Communication (J),-16.3
2072,Percentage Change over 1 month for Services Index,2021M10,"Professional, Scientific & Technical Activities (M)",-0.6
2073,Percentage Change over 1 month for Services Index,2021M10,Administrative & Support Service Activities (N (excl. 7735)),0.9
2074,Percentage Change over 1 month for Services Index,2021M10,"Other Service Activities (L, 92, 93, 95, 96)",2.8
2075,Percentage Change over 1 month for Services Index,2021M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-8.4
2076,Percentage Change over 1 month for Services Index,2021M10,Wholesale Trade (46),-2.7
2077,Percentage Change over 1 month for Services Index,2021M10,Accommodation (55),-0.6
2078,Percentage Change over 1 month for Services Index,2021M10,"Food Service Activities (561, 562)",9.1
2079,Percentage Change over 1 month for Services Index,2021M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),9.8
2080,Percentage Change over 1 month for Services Index,2021M11,Transportation & Storage (H),-5.2
2081,Percentage Change over 1 month for Services Index,2021M11,Accommodation & Food Service Activities (I),-14.6
2082,Percentage Change over 1 month for Services Index,2021M11,Information & Communication (J),5.8
2083,Percentage Change over 1 month for Services Index,2021M11,"Professional, Scientific & Technical Activities (M)",-0.5
2084,Percentage Change over 1 month for Services Index,2021M11,Administrative & Support Service Activities (N (excl. 7735)),0.9
2085,Percentage Change over 1 month for Services Index,2021M11,"Other Service Activities (L, 92, 93, 95, 96)",6.3
2086,Percentage Change over 1 month for Services Index,2021M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",4.0
2087,Percentage Change over 1 month for Services Index,2021M11,Wholesale Trade (46),6.6
2088,Percentage Change over 1 month for Services Index,2021M11,Accommodation (55),-21.9
2089,Percentage Change over 1 month for Services Index,2021M11,"Food Service Activities (561, 562)",-5.9
2090,Percentage Change over 1 month for Services Index,2021M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),5.2
2091,Percentage Change over 1 month for Services Index,2021M12,Transportation & Storage (H),-3.9
2092,Percentage Change over 1 month for Services Index,2021M12,Accommodation & Food Service Activities (I),-1.7
2093,Percentage Change over 1 month for Services Index,2021M12,Information & Communication (J),42.8
2094,Percentage Change over 1 month for Services Index,2021M12,"Professional, Scientific & Technical Activities (M)",1.1
2095,Percentage Change over 1 month for Services Index,2021M12,Administrative & Support Service Activities (N (excl. 7735)),-7.9
2096,Percentage Change over 1 month for Services Index,2021M12,"Other Service Activities (L, 92, 93, 95, 96)",-10.9
2097,Percentage Change over 1 month for Services Index,2021M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",20.4
2098,Percentage Change over 1 month for Services Index,2021M12,Wholesale Trade (46),-4.0
2099,Percentage Change over 1 month for Services Index,2021M12,Accommodation (55),2.7
2100,Percentage Change over 1 month for Services Index,2021M12,"Food Service Activities (561, 562)",0.4
2101,Percentage Change over 1 month for Services Index,2022M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-12.5
2102,Percentage Change over 1 month for Services Index,2022M01,Transportation & Storage (H),-8.4
2103,Percentage Change over 1 month for Services Index,2022M01,Accommodation & Food Service Activities (I),-24.4
2104,Percentage Change over 1 month for Services Index,2022M01,Information & Communication (J),-37.5
2105,Percentage Change over 1 month for Services Index,2022M01,"Professional, Scientific & Technical Activities (M)",-14.1
2106,Percentage Change over 1 month for Services Index,2022M01,Administrative & Support Service Activities (N (excl. 7735)),-3.4
2107,Percentage Change over 1 month for Services Index,2022M01,"Other Service Activities (L, 92, 93, 95, 96)",0.0
2108,Percentage Change over 1 month for Services Index,2022M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-26.1
2109,Percentage Change over 1 month for Services Index,2022M01,Wholesale Trade (46),-9.0
2110,Percentage Change over 1 month for Services Index,2022M01,Accommodation (55),-25.5
2111,Percentage Change over 1 month for Services Index,2022M01,"Food Service Activities (561, 562)",-19.7
2112,Percentage Change over 1 month for Services Index,2022M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.8
2113,Percentage Change over 1 month for Services Index,2022M02,Transportation & Storage (H),1.2
2114,Percentage Change over 1 month for Services Index,2022M02,Accommodation & Food Service Activities (I),27.2
2115,Percentage Change over 1 month for Services Index,2022M02,Information & Communication (J),10.5
2116,Percentage Change over 1 month for Services Index,2022M02,"Professional, Scientific & Technical Activities (M)",1.4
2117,Percentage Change over 1 month for Services Index,2022M02,Administrative & Support Service Activities (N (excl. 7735)),4.9
2118,Percentage Change over 1 month for Services Index,2022M02,"Other Service Activities (L, 92, 93, 95, 96)",-6.2
2119,Percentage Change over 1 month for Services Index,2022M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",5.7
2120,Percentage Change over 1 month for Services Index,2022M02,Wholesale Trade (46),-0.4
2121,Percentage Change over 1 month for Services Index,2022M02,Accommodation (55),32.6
2122,Percentage Change over 1 month for Services Index,2022M02,"Food Service Activities (561, 562)",17.5
2123,Percentage Change over 1 month for Services Index,2022M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),7.9
2124,Percentage Change over 1 month for Services Index,2022M03,Transportation & Storage (H),15.5
2125,Percentage Change over 1 month for Services Index,2022M03,Accommodation & Food Service Activities (I),12.4
2126,Percentage Change over 1 month for Services Index,2022M03,Information & Communication (J),39.4
2127,Percentage Change over 1 month for Services Index,2022M03,"Professional, Scientific & Technical Activities (M)",18.2
2128,Percentage Change over 1 month for Services Index,2022M03,Administrative & Support Service Activities (N (excl. 7735)),14.7
2129,Percentage Change over 1 month for Services Index,2022M03,"Other Service Activities (L, 92, 93, 95, 96)",19.6
2130,Percentage Change over 1 month for Services Index,2022M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",25.9
2131,Percentage Change over 1 month for Services Index,2022M03,Wholesale Trade (46),22.3
2132,Percentage Change over 1 month for Services Index,2022M03,Accommodation (55),20.4
2133,Percentage Change over 1 month for Services Index,2022M03,"Food Service Activities (561, 562)",18.2
2134,Percentage Change over 1 month for Services Index,2022M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.7
2135,Percentage Change over 1 month for Services Index,2022M04,Transportation & Storage (H),6.8
2136,Percentage Change over 1 month for Services Index,2022M04,Accommodation & Food Service Activities (I),20.9
2137,Percentage Change over 1 month for Services Index,2022M04,Information & Communication (J),-26.1
2138,Percentage Change over 1 month for Services Index,2022M04,"Professional, Scientific & Technical Activities (M)",-14.3
2139,Percentage Change over 1 month for Services Index,2022M04,Administrative & Support Service Activities (N (excl. 7735)),-4.3
2140,Percentage Change over 1 month for Services Index,2022M04,"Other Service Activities (L, 92, 93, 95, 96)",10.8
2141,Percentage Change over 1 month for Services Index,2022M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-14.1
2142,Percentage Change over 1 month for Services Index,2022M04,Wholesale Trade (46),-10.2
2143,Percentage Change over 1 month for Services Index,2022M04,Accommodation (55),39.0
2144,Percentage Change over 1 month for Services Index,2022M04,"Food Service Activities (561, 562)",11.4
2145,Percentage Change over 1 month for Services Index,2022M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.2
2146,Percentage Change over 1 month for Services Index,2022M05,Transportation & Storage (H),11.0
2147,Percentage Change over 1 month for Services Index,2022M05,Accommodation & Food Service Activities (I),6.4
2148,Percentage Change over 1 month for Services Index,2022M05,Information & Communication (J),3.7
2149,Percentage Change over 1 month for Services Index,2022M05,"Professional, Scientific & Technical Activities (M)",6.7
2150,Percentage Change over 1 month for Services Index,2022M05,Administrative & Support Service Activities (N (excl. 7735)),7.1
2151,Percentage Change over 1 month for Services Index,2022M05,"Other Service Activities (L, 92, 93, 95, 96)",-4.0
2152,Percentage Change over 1 month for Services Index,2022M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.6
2153,Percentage Change over 1 month for Services Index,2022M05,Wholesale Trade (46),8.6
2154,Percentage Change over 1 month for Services Index,2022M05,Accommodation (55),10.4
2155,Percentage Change over 1 month for Services Index,2022M05,"Food Service Activities (561, 562)",5.8
2156,Percentage Change over 1 month for Services Index,2022M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.9
2157,Percentage Change over 1 month for Services Index,2022M06,Transportation & Storage (H),2.1
2158,Percentage Change over 1 month for Services Index,2022M06,Accommodation & Food Service Activities (I),3.6
2159,Percentage Change over 1 month for Services Index,2022M06,Information & Communication (J),38.9
2160,Percentage Change over 1 month for Services Index,2022M06,"Professional, Scientific & Technical Activities (M)",9.6
2161,Percentage Change over 1 month for Services Index,2022M06,Administrative & Support Service Activities (N (excl. 7735)),-0.6
2162,Percentage Change over 1 month for Services Index,2022M06,"Other Service Activities (L, 92, 93, 95, 96)",2.9
2163,Percentage Change over 1 month for Services Index,2022M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",20.5
2164,Percentage Change over 1 month for Services Index,2022M06,Wholesale Trade (46),7.2
2165,Percentage Change over 1 month for Services Index,2022M06,Accommodation (55),8.8
2166,Percentage Change over 1 month for Services Index,2022M06,"Food Service Activities (561, 562)",1.7
2167,Percentage Change over 1 month for Services Index,2022M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-1.3
2168,Percentage Change over 1 month for Services Index,2022M07,Transportation & Storage (H),15.0
2169,Percentage Change over 1 month for Services Index,2022M07,Accommodation & Food Service Activities (I),7.3
2170,Percentage Change over 1 month for Services Index,2022M07,Information & Communication (J),-27.6
2171,Percentage Change over 1 month for Services Index,2022M07,"Professional, Scientific & Technical Activities (M)",-2.6
2172,Percentage Change over 1 month for Services Index,2022M07,Administrative & Support Service Activities (N (excl. 7735)),-2.7
2173,Percentage Change over 1 month for Services Index,2022M07,"Other Service Activities (L, 92, 93, 95, 96)",4.0
2174,Percentage Change over 1 month for Services Index,2022M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-13.9
2175,Percentage Change over 1 month for Services Index,2022M07,Wholesale Trade (46),-10.2
2176,Percentage Change over 1 month for Services Index,2022M07,Accommodation (55),9.9
2177,Percentage Change over 1 month for Services Index,2022M07,"Food Service Activities (561, 562)",8.3
2178,Percentage Change over 1 month for Services Index,2022M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),1.7
2179,Percentage Change over 1 month for Services Index,2022M08,Transportation & Storage (H),-0.7
2180,Percentage Change over 1 month for Services Index,2022M08,Accommodation & Food Service Activities (I),4.7
2181,Percentage Change over 1 month for Services Index,2022M08,Information & Communication (J),-0.6
2182,Percentage Change over 1 month for Services Index,2022M08,"Professional, Scientific & Technical Activities (M)",1.1
2183,Percentage Change over 1 month for Services Index,2022M08,Administrative & Support Service Activities (N (excl. 7735)),-3.1
2184,Percentage Change over 1 month for Services Index,2022M08,"Other Service Activities (L, 92, 93, 95, 96)",6.5
2185,Percentage Change over 1 month for Services Index,2022M08,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.5
2186,Percentage Change over 1 month for Services Index,2022M08,Wholesale Trade (46),4.4
2187,Percentage Change over 1 month for Services Index,2022M08,Accommodation (55),-1.0
2188,Percentage Change over 1 month for Services Index,2022M08,"Food Service Activities (561, 562)",-1.1
2189,Percentage Change over 1 month for Services Index,2022M09,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.7
2190,Percentage Change over 1 month for Services Index,2022M09,Transportation & Storage (H),-9.5
2191,Percentage Change over 1 month for Services Index,2022M09,Accommodation & Food Service Activities (I),-5.7
2192,Percentage Change over 1 month for Services Index,2022M09,Information & Communication (J),28.4
2193,Percentage Change over 1 month for Services Index,2022M09,"Professional, Scientific & Technical Activities (M)",2.7
2194,Percentage Change over 1 month for Services Index,2022M09,Administrative & Support Service Activities (N (excl. 7735)),9.7
2195,Percentage Change over 1 month for Services Index,2022M09,"Other Service Activities (L, 92, 93, 95, 96)",1.7
2196,Percentage Change over 1 month for Services Index,2022M09,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",13.0
2197,Percentage Change over 1 month for Services Index,2022M09,Wholesale Trade (46),9.5
2198,Percentage Change over 1 month for Services Index,2022M09,Accommodation (55),-11.3
2199,Percentage Change over 1 month for Services Index,2022M09,"Food Service Activities (561, 562)",-0.4
2200,Percentage Change over 1 month for Services Index,2022M10,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-8.1
2201,Percentage Change over 1 month for Services Index,2022M10,Transportation & Storage (H),-2.9
2202,Percentage Change over 1 month for Services Index,2022M10,Accommodation & Food Service Activities (I),0.6
2203,Percentage Change over 1 month for Services Index,2022M10,Information & Communication (J),-18.9
2204,Percentage Change over 1 month for Services Index,2022M10,"Professional, Scientific & Technical Activities (M)",-10.7
2205,Percentage Change over 1 month for Services Index,2022M10,Administrative & Support Service Activities (N (excl. 7735)),-6.6
2206,Percentage Change over 1 month for Services Index,2022M10,"Other Service Activities (L, 92, 93, 95, 96)",3.0
2207,Percentage Change over 1 month for Services Index,2022M10,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-12.6
2208,Percentage Change over 1 month for Services Index,2022M10,Wholesale Trade (46),-10.7
2209,Percentage Change over 1 month for Services Index,2022M10,Accommodation (55),-8.4
2210,Percentage Change over 1 month for Services Index,2022M10,"Food Service Activities (561, 562)",2.9
2211,Percentage Change over 1 month for Services Index,2022M11,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),9.2
2212,Percentage Change over 1 month for Services Index,2022M11,Transportation & Storage (H),-10.5
2213,Percentage Change over 1 month for Services Index,2022M11,Accommodation & Food Service Activities (I),-8.3
2214,Percentage Change over 1 month for Services Index,2022M11,Information & Communication (J),2.7
2215,Percentage Change over 1 month for Services Index,2022M11,"Professional, Scientific & Technical Activities (M)",2.6
2216,Percentage Change over 1 month for Services Index,2022M11,Administrative & Support Service Activities (N (excl. 7735)),4.2
2217,Percentage Change over 1 month for Services Index,2022M11,"Other Service Activities (L, 92, 93, 95, 96)",1.7
2218,Percentage Change over 1 month for Services Index,2022M11,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.3
2219,Percentage Change over 1 month for Services Index,2022M11,Wholesale Trade (46),7.1
2220,Percentage Change over 1 month for Services Index,2022M11,Accommodation (55),-17.7
2221,Percentage Change over 1 month for Services Index,2022M11,"Food Service Activities (561, 562)",-1.0
2222,Percentage Change over 1 month for Services Index,2022M12,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.3
2223,Percentage Change over 1 month for Services Index,2022M12,Transportation & Storage (H),2.3
2224,Percentage Change over 1 month for Services Index,2022M12,Accommodation & Food Service Activities (I),11.5
2225,Percentage Change over 1 month for Services Index,2022M12,Information & Communication (J),34.2
2226,Percentage Change over 1 month for Services Index,2022M12,"Professional, Scientific & Technical Activities (M)",2.0
2227,Percentage Change over 1 month for Services Index,2022M12,Administrative & Support Service Activities (N (excl. 7735)),-5.4
2228,Percentage Change over 1 month for Services Index,2022M12,"Other Service Activities (L, 92, 93, 95, 96)",-2.3
2229,Percentage Change over 1 month for Services Index,2022M12,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",17.6
2230,Percentage Change over 1 month for Services Index,2022M12,Wholesale Trade (46),-7.2
2231,Percentage Change over 1 month for Services Index,2022M12,Accommodation (55),19.7
2232,Percentage Change over 1 month for Services Index,2022M12,"Food Service Activities (561, 562)",6.2
2233,Percentage Change over 1 month for Services Index,2023M01,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-4.4
2234,Percentage Change over 1 month for Services Index,2023M01,Transportation & Storage (H),-8.9
2235,Percentage Change over 1 month for Services Index,2023M01,Accommodation & Food Service Activities (I),-25.0
2236,Percentage Change over 1 month for Services Index,2023M01,Information & Communication (J),-31.7
2237,Percentage Change over 1 month for Services Index,2023M01,"Professional, Scientific & Technical Activities (M)",-9.4
2238,Percentage Change over 1 month for Services Index,2023M01,Administrative & Support Service Activities (N (excl. 7735)),-3.8
2239,Percentage Change over 1 month for Services Index,2023M01,"Other Service Activities (L, 92, 93, 95, 96)",-1.1
2240,Percentage Change over 1 month for Services Index,2023M01,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-20.7
2241,Percentage Change over 1 month for Services Index,2023M01,Wholesale Trade (46),-2.0
2242,Percentage Change over 1 month for Services Index,2023M01,Accommodation (55),-34.9
2243,Percentage Change over 1 month for Services Index,2023M01,"Food Service Activities (561, 562)",-12.1
2244,Percentage Change over 1 month for Services Index,2023M02,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-2.8
2245,Percentage Change over 1 month for Services Index,2023M02,Transportation & Storage (H),-8.8
2246,Percentage Change over 1 month for Services Index,2023M02,Accommodation & Food Service Activities (I),7.7
2247,Percentage Change over 1 month for Services Index,2023M02,Information & Communication (J),0.2
2248,Percentage Change over 1 month for Services Index,2023M02,"Professional, Scientific & Technical Activities (M)",-4.1
2249,Percentage Change over 1 month for Services Index,2023M02,Administrative & Support Service Activities (N (excl. 7735)),0.0
2250,Percentage Change over 1 month for Services Index,2023M02,"Other Service Activities (L, 92, 93, 95, 96)",-4.3
2251,Percentage Change over 1 month for Services Index,2023M02,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-1.5
2252,Percentage Change over 1 month for Services Index,2023M02,Wholesale Trade (46),-3.7
2253,Percentage Change over 1 month for Services Index,2023M02,Accommodation (55),14.4
2254,Percentage Change over 1 month for Services Index,2023M02,"Food Service Activities (561, 562)",-0.4
2255,Percentage Change over 1 month for Services Index,2023M03,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.6
2256,Percentage Change over 1 month for Services Index,2023M03,Transportation & Storage (H),16.6
2257,Percentage Change over 1 month for Services Index,2023M03,Accommodation & Food Service Activities (I),13.0
2258,Percentage Change over 1 month for Services Index,2023M03,Information & Communication (J),31.9
2259,Percentage Change over 1 month for Services Index,2023M03,"Professional, Scientific & Technical Activities (M)",17.4
2260,Percentage Change over 1 month for Services Index,2023M03,Administrative & Support Service Activities (N (excl. 7735)),10.6
2261,Percentage Change over 1 month for Services Index,2023M03,"Other Service Activities (L, 92, 93, 95, 96)",11.8
2262,Percentage Change over 1 month for Services Index,2023M03,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",19.7
2263,Percentage Change over 1 month for Services Index,2023M03,Wholesale Trade (46),8.2
2264,Percentage Change over 1 month for Services Index,2023M03,Accommodation (55),19.7
2265,Percentage Change over 1 month for Services Index,2023M03,"Food Service Activities (561, 562)",17.2
2266,Percentage Change over 1 month for Services Index,2023M04,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),4.7
2267,Percentage Change over 1 month for Services Index,2023M04,Transportation & Storage (H),6.2
2268,Percentage Change over 1 month for Services Index,2023M04,Accommodation & Food Service Activities (I),8.3
2269,Percentage Change over 1 month for Services Index,2023M04,Information & Communication (J),-21.6
2270,Percentage Change over 1 month for Services Index,2023M04,"Professional, Scientific & Technical Activities (M)",-11.3
2271,Percentage Change over 1 month for Services Index,2023M04,Administrative & Support Service Activities (N (excl. 7735)),-5.2
2272,Percentage Change over 1 month for Services Index,2023M04,"Other Service Activities (L, 92, 93, 95, 96)",-2.3
2273,Percentage Change over 1 month for Services Index,2023M04,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-11.0
2274,Percentage Change over 1 month for Services Index,2023M04,Wholesale Trade (46),-7.1
2275,Percentage Change over 1 month for Services Index,2023M04,Accommodation (55),19.2
2276,Percentage Change over 1 month for Services Index,2023M04,"Food Service Activities (561, 562)",2.1
2277,Percentage Change over 1 month for Services Index,2023M05,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-3.5
2278,Percentage Change over 1 month for Services Index,2023M05,Transportation & Storage (H),6.6
2279,Percentage Change over 1 month for Services Index,2023M05,Accommodation & Food Service Activities (I),5.0
2280,Percentage Change over 1 month for Services Index,2023M05,Information & Communication (J),4.8
2281,Percentage Change over 1 month for Services Index,2023M05,"Professional, Scientific & Technical Activities (M)",6.3
2282,Percentage Change over 1 month for Services Index,2023M05,Administrative & Support Service Activities (N (excl. 7735)),3.1
2283,Percentage Change over 1 month for Services Index,2023M05,"Other Service Activities (L, 92, 93, 95, 96)",1.1
2284,Percentage Change over 1 month for Services Index,2023M05,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",2.9
2285,Percentage Change over 1 month for Services Index,2023M05,Wholesale Trade (46),7.8
2286,Percentage Change over 1 month for Services Index,2023M05,Accommodation (55),9.7
2287,Percentage Change over 1 month for Services Index,2023M05,"Food Service Activities (561, 562)",2.6
2288,Percentage Change over 1 month for Services Index,2023M06,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.6
2289,Percentage Change over 1 month for Services Index,2023M06,Transportation & Storage (H),6.1
2290,Percentage Change over 1 month for Services Index,2023M06,Accommodation & Food Service Activities (I),8.1
2291,Percentage Change over 1 month for Services Index,2023M06,Information & Communication (J),30.0
2292,Percentage Change over 1 month for Services Index,2023M06,"Professional, Scientific & Technical Activities (M)",8.4
2293,Percentage Change over 1 month for Services Index,2023M06,Administrative & Support Service Activities (N (excl. 7735)),5.6
2294,Percentage Change over 1 month for Services Index,2023M06,"Other Service Activities (L, 92, 93, 95, 96)",-9.7
2295,Percentage Change over 1 month for Services Index,2023M06,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",15.4
2296,Percentage Change over 1 month for Services Index,2023M06,Wholesale Trade (46),2.6
2297,Percentage Change over 1 month for Services Index,2023M06,Accommodation (55),10.1
2298,Percentage Change over 1 month for Services Index,2023M06,"Food Service Activities (561, 562)",6.0
2299,Percentage Change over 1 month for Services Index,2023M07,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.8
2300,Percentage Change over 1 month for Services Index,2023M07,Transportation & Storage (H),4.0
2301,Percentage Change over 1 month for Services Index,2023M07,Accommodation & Food Service Activities (I),0.5
2302,Percentage Change over 1 month for Services Index,2023M07,Information & Communication (J),-24.0
2303,Percentage Change over 1 month for Services Index,2023M07,"Professional, Scientific & Technical Activities (M)",-5.0
2304,Percentage Change over 1 month for Services Index,2023M07,Administrative & Support Service Activities (N (excl. 7735)),-3.2
2305,Percentage Change over 1 month for Services Index,2023M07,"Other Service Activities (L, 92, 93, 95, 96)",-0.1
2306,Percentage Change over 1 month for Services Index,2023M07,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-13.1
2307,Percentage Change over 1 month for Services Index,2023M07,Wholesale Trade (46),-8.8
2308,Percentage Change over 1 month for Services Index,2023M07,Accommodation (55),7.1
2309,Percentage Change over 1 month for Services Index,2023M07,"Food Service Activities (561, 562)",-1.6
2310,Percentage Change over 1 month for Services Index,2023M08,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),0.2
2311,Percentage Change over 1 month for Services Index,2023M08,Transportation & Storage (H),5.0
2312,Percentage Change over 1 month for Services Index,2023M08,Accommodation & Food Service Activities (I),4.7
2313,Percentage Change over 1 month for Services Index,2023M08,Information & Communication (J),2.1
2314,Percentage Change over 1 month for Services Index,2023M08,"Professional, Scientific & Technical Activities (M)",-1.6
2315,Percentage Change over 1 month for Services Index,2023M08,Administrative & Support Service Activities (N (excl. 7735)),-2.3
