,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
1331,Persons aged 15-89 years in Employment,2004Q1,Male,Not stated,5.0
1332,Persons aged 15-89 years in Employment,2004Q1,Female,All NACE economic sectors,799.5
1333,Persons aged 15-89 years in Employment,2004Q1,Female,"Agriculture, forestry and fishing (A)",13.0
1334,Persons aged 15-89 years in Employment,2004Q1,Female,Construction (F),6.6
1335,Persons aged 15-89 years in Employment,2004Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.5
1336,Persons aged 15-89 years in Employment,2004Q1,Female,Transportation and storage (H),15.6
1337,Persons aged 15-89 years in Employment,2004Q1,Female,Accommodation and food service activities (I),58.2
1338,Persons aged 15-89 years in Employment,2004Q1,Female,Information and communication (J),25.0
1339,Persons aged 15-89 years in Employment,2004Q1,Female,"Professional, scientific and technical activities (M)",44.0
1340,Persons aged 15-89 years in Employment,2004Q1,Female,Administrative and support service activities (N),31.3
1341,Persons aged 15-89 years in Employment,2004Q1,Female,"Public administration and defence, compulsory social security (O)",34.8
1342,Persons aged 15-89 years in Employment,2004Q1,Female,Education (P),85.1
1343,Persons aged 15-89 years in Employment,2004Q1,Female,Human health and social work activities (Q),147.5
1344,Persons aged 15-89 years in Employment,2004Q1,Female,Industry (B to E),91.0
1345,Persons aged 15-89 years in Employment,2004Q1,Female,Industry and Construction (B to F),97.6
1346,Persons aged 15-89 years in Employment,2004Q1,Female,Services (G to U),686.4
1347,Persons aged 15-89 years in Employment,2004Q1,Female,"Financial, insurance and real estate activities (K,L)",49.3
1348,Persons aged 15-89 years in Employment,2004Q1,Female,Other NACE activities (R to U),55.1
1349,Persons aged 15-89 years in Employment,2004Q1,Female,Not stated,2.4
1350,Persons aged 15-89 years in Employment,2004Q2,Both sexes,All NACE economic sectors,1925.8
1351,Persons aged 15-89 years in Employment,2004Q2,Both sexes,"Agriculture, forestry and fishing (A)",115.4
1352,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Construction (F),173.8
1353,Persons aged 15-89 years in Employment,2004Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",274.1
1354,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Transportation and storage (H),88.2
1355,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Accommodation and food service activities (I),110.8
1356,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Information and communication (J),77.3
1357,Persons aged 15-89 years in Employment,2004Q2,Both sexes,"Professional, scientific and technical activities (M)",103.3
1358,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Administrative and support service activities (N),73.0
1359,Persons aged 15-89 years in Employment,2004Q2,Both sexes,"Public administration and defence, compulsory social security (O)",85.5
1360,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Education (P),119.4
1361,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Human health and social work activities (Q),191.8
1362,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Industry (B to E),311.0
1363,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Industry and Construction (B to F),484.8
1364,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Services (G to U),1319.3
1365,Persons aged 15-89 years in Employment,2004Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",94.4
1366,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Other NACE activities (R to U),101.5
1367,Persons aged 15-89 years in Employment,2004Q2,Both sexes,Not stated,6.3
1368,Persons aged 15-89 years in Employment,2004Q2,Male,All NACE economic sectors,1116.7
1369,Persons aged 15-89 years in Employment,2004Q2,Male,"Agriculture, forestry and fishing (A)",102.4
1370,Persons aged 15-89 years in Employment,2004Q2,Male,Construction (F),166.9
1371,Persons aged 15-89 years in Employment,2004Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",136.2
1372,Persons aged 15-89 years in Employment,2004Q2,Male,Transportation and storage (H),73.3
1373,Persons aged 15-89 years in Employment,2004Q2,Male,Accommodation and food service activities (I),53.5
1374,Persons aged 15-89 years in Employment,2004Q2,Male,Information and communication (J),50.9
1375,Persons aged 15-89 years in Employment,2004Q2,Male,"Professional, scientific and technical activities (M)",61.1
1376,Persons aged 15-89 years in Employment,2004Q2,Male,Administrative and support service activities (N),41.1
1377,Persons aged 15-89 years in Employment,2004Q2,Male,"Public administration and defence, compulsory social security (O)",46.7
1378,Persons aged 15-89 years in Employment,2004Q2,Male,Education (P),35.8
1379,Persons aged 15-89 years in Employment,2004Q2,Male,Human health and social work activities (Q),39.6
1380,Persons aged 15-89 years in Employment,2004Q2,Male,Industry (B to E),217.7
1381,Persons aged 15-89 years in Employment,2004Q2,Male,Industry and Construction (B to F),384.5
1382,Persons aged 15-89 years in Employment,2004Q2,Male,Services (G to U),625.7
1383,Persons aged 15-89 years in Employment,2004Q2,Male,"Financial, insurance and real estate activities (K,L)",42.4
1384,Persons aged 15-89 years in Employment,2004Q2,Male,Other NACE activities (R to U),45.1
1385,Persons aged 15-89 years in Employment,2004Q2,Male,Not stated,4.1
1386,Persons aged 15-89 years in Employment,2004Q2,Female,All NACE economic sectors,809.0
1387,Persons aged 15-89 years in Employment,2004Q2,Female,"Agriculture, forestry and fishing (A)",13.0
1388,Persons aged 15-89 years in Employment,2004Q2,Female,Construction (F),6.9
1389,Persons aged 15-89 years in Employment,2004Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",137.9
1390,Persons aged 15-89 years in Employment,2004Q2,Female,Transportation and storage (H),15.0
1391,Persons aged 15-89 years in Employment,2004Q2,Female,Accommodation and food service activities (I),57.3
1392,Persons aged 15-89 years in Employment,2004Q2,Female,Information and communication (J),26.4
1393,Persons aged 15-89 years in Employment,2004Q2,Female,"Professional, scientific and technical activities (M)",42.2
1394,Persons aged 15-89 years in Employment,2004Q2,Female,Administrative and support service activities (N),31.9
1395,Persons aged 15-89 years in Employment,2004Q2,Female,"Public administration and defence, compulsory social security (O)",38.8
1396,Persons aged 15-89 years in Employment,2004Q2,Female,Education (P),83.6
1397,Persons aged 15-89 years in Employment,2004Q2,Female,Human health and social work activities (Q),152.2
1398,Persons aged 15-89 years in Employment,2004Q2,Female,Industry (B to E),93.3
1399,Persons aged 15-89 years in Employment,2004Q2,Female,Industry and Construction (B to F),100.2
1400,Persons aged 15-89 years in Employment,2004Q2,Female,Services (G to U),693.6
1401,Persons aged 15-89 years in Employment,2004Q2,Female,"Financial, insurance and real estate activities (K,L)",51.9
1402,Persons aged 15-89 years in Employment,2004Q2,Female,Other NACE activities (R to U),56.4
1403,Persons aged 15-89 years in Employment,2004Q2,Female,Not stated,2.2
1404,Persons aged 15-89 years in Employment,2004Q3,Both sexes,All NACE economic sectors,1984.1
1405,Persons aged 15-89 years in Employment,2004Q3,Both sexes,"Agriculture, forestry and fishing (A)",118.5
1406,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Construction (F),187.7
1407,Persons aged 15-89 years in Employment,2004Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",283.7
1408,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Transportation and storage (H),91.9
1409,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Accommodation and food service activities (I),121.7
1410,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Information and communication (J),75.2
1411,Persons aged 15-89 years in Employment,2004Q3,Both sexes,"Professional, scientific and technical activities (M)",107.1
1412,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Administrative and support service activities (N),77.3
1413,Persons aged 15-89 years in Employment,2004Q3,Both sexes,"Public administration and defence, compulsory social security (O)",85.9
1414,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Education (P),114.9
1415,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Human health and social work activities (Q),197.0
1416,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Industry (B to E),316.8
1417,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Industry and Construction (B to F),504.5
1418,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Services (G to U),1350.2
1419,Persons aged 15-89 years in Employment,2004Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",93.0
1420,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Other NACE activities (R to U),102.4
1421,Persons aged 15-89 years in Employment,2004Q3,Both sexes,Not stated,10.9
1422,Persons aged 15-89 years in Employment,2004Q3,Male,All NACE economic sectors,1148.6
1423,Persons aged 15-89 years in Employment,2004Q3,Male,"Agriculture, forestry and fishing (A)",105.3
1424,Persons aged 15-89 years in Employment,2004Q3,Male,Construction (F),180.5
1425,Persons aged 15-89 years in Employment,2004Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",141.0
1426,Persons aged 15-89 years in Employment,2004Q3,Male,Transportation and storage (H),75.7
1427,Persons aged 15-89 years in Employment,2004Q3,Male,Accommodation and food service activities (I),55.6
1428,Persons aged 15-89 years in Employment,2004Q3,Male,Information and communication (J),48.9
1429,Persons aged 15-89 years in Employment,2004Q3,Male,"Professional, scientific and technical activities (M)",62.0
1430,Persons aged 15-89 years in Employment,2004Q3,Male,Administrative and support service activities (N),43.5
1431,Persons aged 15-89 years in Employment,2004Q3,Male,"Public administration and defence, compulsory social security (O)",46.4
1432,Persons aged 15-89 years in Employment,2004Q3,Male,Education (P),35.2
1433,Persons aged 15-89 years in Employment,2004Q3,Male,Human health and social work activities (Q),39.3
1434,Persons aged 15-89 years in Employment,2004Q3,Male,Industry (B to E),222.2
1435,Persons aged 15-89 years in Employment,2004Q3,Male,Industry and Construction (B to F),402.7
1436,Persons aged 15-89 years in Employment,2004Q3,Male,Services (G to U),633.8
1437,Persons aged 15-89 years in Employment,2004Q3,Male,"Financial, insurance and real estate activities (K,L)",42.0
1438,Persons aged 15-89 years in Employment,2004Q3,Male,Other NACE activities (R to U),44.1
1439,Persons aged 15-89 years in Employment,2004Q3,Male,Not stated,6.8
1440,Persons aged 15-89 years in Employment,2004Q3,Female,All NACE economic sectors,835.5
1441,Persons aged 15-89 years in Employment,2004Q3,Female,"Agriculture, forestry and fishing (A)",13.2
1442,Persons aged 15-89 years in Employment,2004Q3,Female,Construction (F),7.2
1443,Persons aged 15-89 years in Employment,2004Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",142.7
1444,Persons aged 15-89 years in Employment,2004Q3,Female,Transportation and storage (H),16.2
1445,Persons aged 15-89 years in Employment,2004Q3,Female,Accommodation and food service activities (I),66.1
1446,Persons aged 15-89 years in Employment,2004Q3,Female,Information and communication (J),26.3
1447,Persons aged 15-89 years in Employment,2004Q3,Female,"Professional, scientific and technical activities (M)",45.2
1448,Persons aged 15-89 years in Employment,2004Q3,Female,Administrative and support service activities (N),33.8
1449,Persons aged 15-89 years in Employment,2004Q3,Female,"Public administration and defence, compulsory social security (O)",39.5
1450,Persons aged 15-89 years in Employment,2004Q3,Female,Education (P),79.7
1451,Persons aged 15-89 years in Employment,2004Q3,Female,Human health and social work activities (Q),157.7
1452,Persons aged 15-89 years in Employment,2004Q3,Female,Industry (B to E),94.6
1453,Persons aged 15-89 years in Employment,2004Q3,Female,Industry and Construction (B to F),101.8
1454,Persons aged 15-89 years in Employment,2004Q3,Female,Services (G to U),716.4
1455,Persons aged 15-89 years in Employment,2004Q3,Female,"Financial, insurance and real estate activities (K,L)",50.9
1456,Persons aged 15-89 years in Employment,2004Q3,Female,Other NACE activities (R to U),58.3
1457,Persons aged 15-89 years in Employment,2004Q3,Female,Not stated,4.1
1458,Persons aged 15-89 years in Employment,2004Q4,Both sexes,All NACE economic sectors,1973.8
1459,Persons aged 15-89 years in Employment,2004Q4,Both sexes,"Agriculture, forestry and fishing (A)",110.6
1460,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Construction (F),187.3
1461,Persons aged 15-89 years in Employment,2004Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",284.8
1462,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Transportation and storage (H),92.1
1463,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Accommodation and food service activities (I),113.7
1464,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Information and communication (J),76.6
1465,Persons aged 15-89 years in Employment,2004Q4,Both sexes,"Professional, scientific and technical activities (M)",106.3
1466,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Administrative and support service activities (N),80.8
1467,Persons aged 15-89 years in Employment,2004Q4,Both sexes,"Public administration and defence, compulsory social security (O)",87.6
1468,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Education (P),118.6
1469,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Human health and social work activities (Q),197.0
1470,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Industry (B to E),314.1
1471,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Industry and Construction (B to F),501.4
1472,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Services (G to U),1354.2
1473,Persons aged 15-89 years in Employment,2004Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",95.1
1474,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Other NACE activities (R to U),101.8
1475,Persons aged 15-89 years in Employment,2004Q4,Both sexes,Not stated,7.7
1476,Persons aged 15-89 years in Employment,2004Q4,Male,All NACE economic sectors,1138.4
1477,Persons aged 15-89 years in Employment,2004Q4,Male,"Agriculture, forestry and fishing (A)",98.5
1478,Persons aged 15-89 years in Employment,2004Q4,Male,Construction (F),180.0
1479,Persons aged 15-89 years in Employment,2004Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",139.8
1480,Persons aged 15-89 years in Employment,2004Q4,Male,Transportation and storage (H),76.3
1481,Persons aged 15-89 years in Employment,2004Q4,Male,Accommodation and food service activities (I),53.0
1482,Persons aged 15-89 years in Employment,2004Q4,Male,Information and communication (J),48.6
1483,Persons aged 15-89 years in Employment,2004Q4,Male,"Professional, scientific and technical activities (M)",63.2
1484,Persons aged 15-89 years in Employment,2004Q4,Male,Administrative and support service activities (N),42.4
1485,Persons aged 15-89 years in Employment,2004Q4,Male,"Public administration and defence, compulsory social security (O)",45.9
1486,Persons aged 15-89 years in Employment,2004Q4,Male,Education (P),34.9
1487,Persons aged 15-89 years in Employment,2004Q4,Male,Human health and social work activities (Q),39.9
1488,Persons aged 15-89 years in Employment,2004Q4,Male,Industry (B to E),223.5
1489,Persons aged 15-89 years in Employment,2004Q4,Male,Industry and Construction (B to F),403.5
1490,Persons aged 15-89 years in Employment,2004Q4,Male,Services (G to U),631.0
1491,Persons aged 15-89 years in Employment,2004Q4,Male,"Financial, insurance and real estate activities (K,L)",43.2
1492,Persons aged 15-89 years in Employment,2004Q4,Male,Other NACE activities (R to U),43.6
1493,Persons aged 15-89 years in Employment,2004Q4,Male,Not stated,5.4
1494,Persons aged 15-89 years in Employment,2004Q4,Female,All NACE economic sectors,835.4
1495,Persons aged 15-89 years in Employment,2004Q4,Female,"Agriculture, forestry and fishing (A)",12.1
1496,Persons aged 15-89 years in Employment,2004Q4,Female,Construction (F),7.3
1497,Persons aged 15-89 years in Employment,2004Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",144.9
1498,Persons aged 15-89 years in Employment,2004Q4,Female,Transportation and storage (H),15.8
1499,Persons aged 15-89 years in Employment,2004Q4,Female,Accommodation and food service activities (I),60.6
1500,Persons aged 15-89 years in Employment,2004Q4,Female,Information and communication (J),27.9
1501,Persons aged 15-89 years in Employment,2004Q4,Female,"Professional, scientific and technical activities (M)",43.0
1502,Persons aged 15-89 years in Employment,2004Q4,Female,Administrative and support service activities (N),38.3
1503,Persons aged 15-89 years in Employment,2004Q4,Female,"Public administration and defence, compulsory social security (O)",41.6
1504,Persons aged 15-89 years in Employment,2004Q4,Female,Education (P),83.7
1505,Persons aged 15-89 years in Employment,2004Q4,Female,Human health and social work activities (Q),157.1
1506,Persons aged 15-89 years in Employment,2004Q4,Female,Industry (B to E),90.6
1507,Persons aged 15-89 years in Employment,2004Q4,Female,Industry and Construction (B to F),97.9
1508,Persons aged 15-89 years in Employment,2004Q4,Female,Services (G to U),723.2
1509,Persons aged 15-89 years in Employment,2004Q4,Female,"Financial, insurance and real estate activities (K,L)",51.9
1510,Persons aged 15-89 years in Employment,2004Q4,Female,Other NACE activities (R to U),58.2
1511,Persons aged 15-89 years in Employment,2004Q4,Female,Not stated,2.3
1512,Persons aged 15-89 years in Employment,2005Q1,Both sexes,All NACE economic sectors,1989.7
1513,Persons aged 15-89 years in Employment,2005Q1,Both sexes,"Agriculture, forestry and fishing (A)",111.3
1514,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Construction (F),196.9
1515,Persons aged 15-89 years in Employment,2005Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",281.2
1516,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Transportation and storage (H),90.4
1517,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Accommodation and food service activities (I),115.1
1518,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Information and communication (J),78.1
1519,Persons aged 15-89 years in Employment,2005Q1,Both sexes,"Professional, scientific and technical activities (M)",109.7
1520,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Administrative and support service activities (N),82.6
1521,Persons aged 15-89 years in Employment,2005Q1,Both sexes,"Public administration and defence, compulsory social security (O)",87.4
1522,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Education (P),121.7
1523,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Human health and social work activities (Q),200.7
1524,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Industry (B to E),311.5
1525,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Industry and Construction (B to F),508.4
1526,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Services (G to U),1359.6
1527,Persons aged 15-89 years in Employment,2005Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",95.2
1528,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Other NACE activities (R to U),97.4
1529,Persons aged 15-89 years in Employment,2005Q1,Both sexes,Not stated,10.5
1530,Persons aged 15-89 years in Employment,2005Q1,Male,All NACE economic sectors,1147.8
1531,Persons aged 15-89 years in Employment,2005Q1,Male,"Agriculture, forestry and fishing (A)",98.1
1532,Persons aged 15-89 years in Employment,2005Q1,Male,Construction (F),188.6
1533,Persons aged 15-89 years in Employment,2005Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",138.2
1534,Persons aged 15-89 years in Employment,2005Q1,Male,Transportation and storage (H),75.4
1535,Persons aged 15-89 years in Employment,2005Q1,Male,Accommodation and food service activities (I),54.6
1536,Persons aged 15-89 years in Employment,2005Q1,Male,Information and communication (J),50.5
1537,Persons aged 15-89 years in Employment,2005Q1,Male,"Professional, scientific and technical activities (M)",65.2
1538,Persons aged 15-89 years in Employment,2005Q1,Male,Administrative and support service activities (N),42.8
1539,Persons aged 15-89 years in Employment,2005Q1,Male,"Public administration and defence, compulsory social security (O)",46.7
1540,Persons aged 15-89 years in Employment,2005Q1,Male,Education (P),35.7
1541,Persons aged 15-89 years in Employment,2005Q1,Male,Human health and social work activities (Q),40.3
1542,Persons aged 15-89 years in Employment,2005Q1,Male,Industry (B to E),221.3
1543,Persons aged 15-89 years in Employment,2005Q1,Male,Industry and Construction (B to F),410.0
1544,Persons aged 15-89 years in Employment,2005Q1,Male,Services (G to U),632.4
1545,Persons aged 15-89 years in Employment,2005Q1,Male,"Financial, insurance and real estate activities (K,L)",41.8
1546,Persons aged 15-89 years in Employment,2005Q1,Male,Other NACE activities (R to U),41.3
1547,Persons aged 15-89 years in Employment,2005Q1,Male,Not stated,7.3
1548,Persons aged 15-89 years in Employment,2005Q1,Female,All NACE economic sectors,841.9
1549,Persons aged 15-89 years in Employment,2005Q1,Female,"Agriculture, forestry and fishing (A)",13.1
1550,Persons aged 15-89 years in Employment,2005Q1,Female,Construction (F),8.2
1551,Persons aged 15-89 years in Employment,2005Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",143.0
1552,Persons aged 15-89 years in Employment,2005Q1,Female,Transportation and storage (H),15.1
1553,Persons aged 15-89 years in Employment,2005Q1,Female,Accommodation and food service activities (I),60.4
1554,Persons aged 15-89 years in Employment,2005Q1,Female,Information and communication (J),27.5
1555,Persons aged 15-89 years in Employment,2005Q1,Female,"Professional, scientific and technical activities (M)",44.5
1556,Persons aged 15-89 years in Employment,2005Q1,Female,Administrative and support service activities (N),39.9
1557,Persons aged 15-89 years in Employment,2005Q1,Female,"Public administration and defence, compulsory social security (O)",40.7
1558,Persons aged 15-89 years in Employment,2005Q1,Female,Education (P),86.0
1559,Persons aged 15-89 years in Employment,2005Q1,Female,Human health and social work activities (Q),160.4
1560,Persons aged 15-89 years in Employment,2005Q1,Female,Industry (B to E),90.2
1561,Persons aged 15-89 years in Employment,2005Q1,Female,Industry and Construction (B to F),98.4
1562,Persons aged 15-89 years in Employment,2005Q1,Female,Services (G to U),727.2
1563,Persons aged 15-89 years in Employment,2005Q1,Female,"Financial, insurance and real estate activities (K,L)",53.5
1564,Persons aged 15-89 years in Employment,2005Q1,Female,Other NACE activities (R to U),56.2
1565,Persons aged 15-89 years in Employment,2005Q1,Female,Not stated,3.2
1566,Persons aged 15-89 years in Employment,2005Q2,Both sexes,All NACE economic sectors,2018.0
1567,Persons aged 15-89 years in Employment,2005Q2,Both sexes,"Agriculture, forestry and fishing (A)",112.2
1568,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Construction (F),200.0
1569,Persons aged 15-89 years in Employment,2005Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",286.6
1570,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Transportation and storage (H),90.1
1571,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Accommodation and food service activities (I),119.5
1572,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Information and communication (J),80.9
1573,Persons aged 15-89 years in Employment,2005Q2,Both sexes,"Professional, scientific and technical activities (M)",109.2
1574,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Administrative and support service activities (N),84.2
1575,Persons aged 15-89 years in Employment,2005Q2,Both sexes,"Public administration and defence, compulsory social security (O)",94.6
1576,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Education (P),125.3
1577,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Human health and social work activities (Q),202.3
1578,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Industry (B to E),304.2
1579,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Industry and Construction (B to F),504.2
1580,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Services (G to U),1389.5
1581,Persons aged 15-89 years in Employment,2005Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",98.7
1582,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Other NACE activities (R to U),98.2
1583,Persons aged 15-89 years in Employment,2005Q2,Both sexes,Not stated,12.1
1584,Persons aged 15-89 years in Employment,2005Q2,Male,All NACE economic sectors,1160.6
1585,Persons aged 15-89 years in Employment,2005Q2,Male,"Agriculture, forestry and fishing (A)",99.6
1586,Persons aged 15-89 years in Employment,2005Q2,Male,Construction (F),191.4
1587,Persons aged 15-89 years in Employment,2005Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.2
1588,Persons aged 15-89 years in Employment,2005Q2,Male,Transportation and storage (H),74.3
1589,Persons aged 15-89 years in Employment,2005Q2,Male,Accommodation and food service activities (I),55.8
1590,Persons aged 15-89 years in Employment,2005Q2,Male,Information and communication (J),51.6
1591,Persons aged 15-89 years in Employment,2005Q2,Male,"Professional, scientific and technical activities (M)",65.5
1592,Persons aged 15-89 years in Employment,2005Q2,Male,Administrative and support service activities (N),45.4
1593,Persons aged 15-89 years in Employment,2005Q2,Male,"Public administration and defence, compulsory social security (O)",49.4
1594,Persons aged 15-89 years in Employment,2005Q2,Male,Education (P),36.7
1595,Persons aged 15-89 years in Employment,2005Q2,Male,Human health and social work activities (Q),39.4
1596,Persons aged 15-89 years in Employment,2005Q2,Male,Industry (B to E),215.0
1597,Persons aged 15-89 years in Employment,2005Q2,Male,Industry and Construction (B to F),406.4
1598,Persons aged 15-89 years in Employment,2005Q2,Male,Services (G to U),646.0
1599,Persons aged 15-89 years in Employment,2005Q2,Male,"Financial, insurance and real estate activities (K,L)",45.7
1600,Persons aged 15-89 years in Employment,2005Q2,Male,Other NACE activities (R to U),42.1
1601,Persons aged 15-89 years in Employment,2005Q2,Male,Not stated,8.6
1602,Persons aged 15-89 years in Employment,2005Q2,Female,All NACE economic sectors,857.4
1603,Persons aged 15-89 years in Employment,2005Q2,Female,"Agriculture, forestry and fishing (A)",12.6
1604,Persons aged 15-89 years in Employment,2005Q2,Female,Construction (F),8.5
1605,Persons aged 15-89 years in Employment,2005Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.4
1606,Persons aged 15-89 years in Employment,2005Q2,Female,Transportation and storage (H),15.8
1607,Persons aged 15-89 years in Employment,2005Q2,Female,Accommodation and food service activities (I),63.6
1608,Persons aged 15-89 years in Employment,2005Q2,Female,Information and communication (J),29.3
1609,Persons aged 15-89 years in Employment,2005Q2,Female,"Professional, scientific and technical activities (M)",43.7
1610,Persons aged 15-89 years in Employment,2005Q2,Female,Administrative and support service activities (N),38.8
1611,Persons aged 15-89 years in Employment,2005Q2,Female,"Public administration and defence, compulsory social security (O)",45.2
1612,Persons aged 15-89 years in Employment,2005Q2,Female,Education (P),88.6
1613,Persons aged 15-89 years in Employment,2005Q2,Female,Human health and social work activities (Q),162.9
1614,Persons aged 15-89 years in Employment,2005Q2,Female,Industry (B to E),89.3
1615,Persons aged 15-89 years in Employment,2005Q2,Female,Industry and Construction (B to F),97.8
1616,Persons aged 15-89 years in Employment,2005Q2,Female,Services (G to U),743.6
1617,Persons aged 15-89 years in Employment,2005Q2,Female,"Financial, insurance and real estate activities (K,L)",53.0
1618,Persons aged 15-89 years in Employment,2005Q2,Female,Other NACE activities (R to U),56.1
1619,Persons aged 15-89 years in Employment,2005Q2,Female,Not stated,3.5
1620,Persons aged 15-89 years in Employment,2005Q3,Both sexes,All NACE economic sectors,2073.3
1621,Persons aged 15-89 years in Employment,2005Q3,Both sexes,"Agriculture, forestry and fishing (A)",114.8
1622,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Construction (F),207.0
1623,Persons aged 15-89 years in Employment,2005Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",302.5
1624,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Transportation and storage (H),92.7
1625,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Accommodation and food service activities (I),122.5
1626,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Information and communication (J),83.7
1627,Persons aged 15-89 years in Employment,2005Q3,Both sexes,"Professional, scientific and technical activities (M)",112.6
1628,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Administrative and support service activities (N),86.7
1629,Persons aged 15-89 years in Employment,2005Q3,Both sexes,"Public administration and defence, compulsory social security (O)",96.3
1630,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Education (P),121.3
1631,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Human health and social work activities (Q),203.9
1632,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Industry (B to E),313.6
1633,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Industry and Construction (B to F),520.6
1634,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Services (G to U),1424.4
1635,Persons aged 15-89 years in Employment,2005Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",100.7
1636,Persons aged 15-89 years in Employment,2005Q3,Both sexes,Other NACE activities (R to U),101.5
