Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-61941
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),156328
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-52140
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),92157
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-144296
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",93730
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",58941
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",26816
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",7974
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",238027
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",228952
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9075
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Net worth, including pension liabilities",-150140
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Contingent liabilities,59522
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,"Net worth, including pension liabilities and contingent liabilities",-209662
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,General Government: changes in net worth - Opening net worth,-50736
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to transactions,-2117
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),-350
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1767
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),714
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,592
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to other economic flows - Other changes in financial assets,-610
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Change in net worth due to other economic flows - Other changes in liabilities,731
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Closing net worth,-52139
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),228952
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,-10571
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),218381
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-58941
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),159441
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-55278
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),92253
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-147531
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",92018
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",58660
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",25047
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8312
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",239549
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",230443
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9106
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Net worth, including pension liabilities",-153278
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Contingent liabilities,59522
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,"Net worth, including pension liabilities and contingent liabilities",-212801
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,General Government: changes in net worth - Opening net worth,-52139
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to transactions,-3502
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),-496
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-3006
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),363
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,592
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to other economic flows - Other changes in financial assets,52
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Change in net worth due to other economic flows - Other changes in liabilities,-281
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Closing net worth,-55278
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),230443
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-11996
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),218447
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-58660
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),159788
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-54202
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),93537
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-147739
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",93089
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",52554
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",30791
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",9744
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",240828
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",231608
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9220
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Net worth, including pension liabilities",-152202
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Contingent liabilities,59522
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,"Net worth, including pension liabilities and contingent liabilities",-211724
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,General Government: changes in net worth - Opening net worth,-55278
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to transactions,-2225
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),692
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-2917
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),3302
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,592
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to other economic flows - Other changes in financial assets,8128
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Change in net worth due to other economic flows - Other changes in liabilities,-5419
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Closing net worth,-54202
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),231608
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-16367
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),215242
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-52554
"General Government Net Worth, Gross and Net Debt ESA 2010",2013Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),162687
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-56876
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),94872
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-151748
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",92480
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",51980
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",31694
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8806
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",244228
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",234756
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9472
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Net worth, including pension liabilities",-154876
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Contingent liabilities,29412
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,"Net worth, including pension liabilities and contingent liabilities",-184288
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,General Government: changes in net worth - Opening net worth,-54202
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to transactions,-2739
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),240
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-2978
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),65
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,1096
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to other economic flows - Other changes in financial assets,2048
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Change in net worth due to other economic flows - Other changes in liabilities,-3078
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Closing net worth,-56876
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),234756
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-19752
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),215004
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-51980
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),163024
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-61132
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),96224
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-157357
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",84452
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",44303
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",31524
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8625
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",241808
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",232123
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9685
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Net worth, including pension liabilities",-159132
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Contingent liabilities,29412
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,"Net worth, including pension liabilities and contingent liabilities",-188544
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,General Government: changes in net worth - Opening net worth,-56876
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to transactions,-1180
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),257
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1436
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to other economic flows - ESA2010 Code (Kx),-3077
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to other economic flows - Other changes in non-financial assets,1096
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to other economic flows - Other changes in financial assets,-839
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Change in net worth due to other economic flows - Other changes in liabilities,-3334
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Closing net worth,-61132
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),232123
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,General Government Debt (GGDebt) - Difference between EDP face value and market value,-22659
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),209464
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-44303
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q2,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),165161
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-65100
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),97208
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-162307
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",83261
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",41766
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",33373
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",8122
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",245568
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",235137
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",10432
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Estimated pension liabilities of government,98000
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Net worth, including pension liabilities",-163100
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Contingent liabilities,29412
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,"Net worth, including pension liabilities and contingent liabilities",-192512
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,General Government: changes in net worth - Opening net worth,-61132
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to transactions,-2265
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),-112
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-2152
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),-1703
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,1096
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to other economic flows - Other changes in financial assets,1185
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Change in net worth due to other economic flows - Other changes in liabilities,-3984
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Closing net worth,-65100
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),235137
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-26908
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),208228
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-41766
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),166463
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-65056
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),98819
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-163876
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",82553
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",34867
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",37925
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",9761
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",246428
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",236952
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",9477
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Estimated pension liabilities of government,109800
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Net worth, including pension liabilities",-174856
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Contingent liabilities,29412
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,"Net worth, including pension liabilities and contingent liabilities",-204268
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,General Government: changes in net worth - Opening net worth,-65100
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to transactions,-384
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),516
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-901
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),428
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,1096
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to other economic flows - Other changes in financial assets,5853
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Change in net worth due to other economic flows - Other changes in liabilities,-6521
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Closing net worth,-65056
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),236952
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-33571
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),203381
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-34867
"General Government Net Worth, Gross and Net Debt ESA 2010",2014Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),168515
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-62135
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),100376
"General Government Net Worth, Gross and Net Debt ESA 2010",2015Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-162511
