,Statistic,Quarter,Sector,value
3806,Expenditure on GNP at Constant Market Prices,2000Q1,Final Domestic Demand,31997.0
3807,Expenditure on GNP at Constant Market Prices,2000Q1,Total Domestic Demand,31967.0
3808,Expenditure on GNP at Constant Market Prices,2000Q2,Personal Expenditure on Consumer Goods and Services,17444.0
3809,Expenditure on GNP at Constant Market Prices,2000Q2,Household & NPISH Final Consumption Expenditure,16896.0
3810,Expenditure on GNP at Constant Market Prices,2000Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5842.0
3811,Expenditure on GNP at Constant Market Prices,2000Q2,General Government Expenditure on Goods & Services provided to Households,4063.0
3812,Expenditure on GNP at Constant Market Prices,2000Q2,General Government Collective Consumption Expenditure,2300.0
3813,Expenditure on GNP at Constant Market Prices,2000Q2,General Government Final Consumption Expenditure,6364.0
3814,Expenditure on GNP at Constant Market Prices,2000Q2,Gross Domestic Fixed Capital Formation,8775.0
3815,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Dwellings,2024.0
3816,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Improvements,855.0
3817,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Other Building and Construction,2641.0
3818,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Transfer Costs,514.0
3819,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Machinery and Equipment,2018.0
3820,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,140.0
3821,Expenditure on GNP at Constant Market Prices,2000Q2,Gross domestic fixed capital formation - Intangible Assets,793.0
3822,Expenditure on GNP at Constant Market Prices,2000Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3823,Expenditure on GNP at Constant Market Prices,2000Q2,Value of Physical Changes in Stocks,508.0
3824,Expenditure on GNP at Constant Market Prices,2000Q2,Exports of Goods and Services (excluding Factor Income Flows),28587.0
3825,Expenditure on GNP at Constant Market Prices,2000Q2,Imports of Goods and Services (excluding Factor Income Flows),-26771.0
3826,Expenditure on GNP at Constant Market Prices,2000Q2,Gross Domestic Product at Market Prices,37466.0
3827,Expenditure on GNP at Constant Market Prices,2000Q2,Net Factor Income from the Rest of the World,-3309.0
3828,Expenditure on GNP at Constant Market Prices,2000Q2,Gross National Product at Market Prices,35129.0
3829,Expenditure on GNP at Constant Market Prices,2000Q2,Statistical Discrepancy,
3830,Expenditure on GNP at Constant Market Prices,2000Q2,Export of Goods (excluding Factor Income Flows),16076.0
3831,Expenditure on GNP at Constant Market Prices,2000Q2,Import of Goods (excluding Factor Income Flows),-12526.0
3832,Expenditure on GNP at Constant Market Prices,2000Q2,Export of Services (excluding Factor Income Flows),10732.0
3833,Expenditure on GNP at Constant Market Prices,2000Q2,Import of Services (excluding Factor Income Flows),-13402.0
3834,Expenditure on GNP at Constant Market Prices,2000Q2,Final Domestic Demand,32313.0
3835,Expenditure on GNP at Constant Market Prices,2000Q2,Total Domestic Demand,32641.0
3836,Expenditure on GNP at Constant Market Prices,2000Q3,Personal Expenditure on Consumer Goods and Services,17393.0
3837,Expenditure on GNP at Constant Market Prices,2000Q3,Household & NPISH Final Consumption Expenditure,16847.0
3838,Expenditure on GNP at Constant Market Prices,2000Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6044.0
3839,Expenditure on GNP at Constant Market Prices,2000Q3,General Government Expenditure on Goods & Services provided to Households,4191.0
3840,Expenditure on GNP at Constant Market Prices,2000Q3,General Government Collective Consumption Expenditure,2372.0
3841,Expenditure on GNP at Constant Market Prices,2000Q3,General Government Final Consumption Expenditure,6564.0
3842,Expenditure on GNP at Constant Market Prices,2000Q3,Gross Domestic Fixed Capital Formation,8488.0
3843,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Dwellings,2159.0
3844,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Improvements,759.0
3845,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Other Building and Construction,2762.0
3846,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Transfer Costs,570.0
3847,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Machinery and Equipment,1706.0
3848,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,144.0
3849,Expenditure on GNP at Constant Market Prices,2000Q3,Gross domestic fixed capital formation - Intangible Assets,734.0
3850,Expenditure on GNP at Constant Market Prices,2000Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3851,Expenditure on GNP at Constant Market Prices,2000Q3,Value of Physical Changes in Stocks,42.0
3852,Expenditure on GNP at Constant Market Prices,2000Q3,Exports of Goods and Services (excluding Factor Income Flows),29576.0
3853,Expenditure on GNP at Constant Market Prices,2000Q3,Imports of Goods and Services (excluding Factor Income Flows),-25691.0
3854,Expenditure on GNP at Constant Market Prices,2000Q3,Gross Domestic Product at Market Prices,38795.0
3855,Expenditure on GNP at Constant Market Prices,2000Q3,Net Factor Income from the Rest of the World,-4406.0
3856,Expenditure on GNP at Constant Market Prices,2000Q3,Gross National Product at Market Prices,34924.0
3857,Expenditure on GNP at Constant Market Prices,2000Q3,Statistical Discrepancy,
3858,Expenditure on GNP at Constant Market Prices,2000Q3,Export of Goods (excluding Factor Income Flows),16773.0
3859,Expenditure on GNP at Constant Market Prices,2000Q3,Import of Goods (excluding Factor Income Flows),-11393.0
3860,Expenditure on GNP at Constant Market Prices,2000Q3,Export of Services (excluding Factor Income Flows),10799.0
3861,Expenditure on GNP at Constant Market Prices,2000Q3,Import of Services (excluding Factor Income Flows),-13791.0
3862,Expenditure on GNP at Constant Market Prices,2000Q3,Final Domestic Demand,32139.0
3863,Expenditure on GNP at Constant Market Prices,2000Q3,Total Domestic Demand,31939.0
3864,Expenditure on GNP at Constant Market Prices,2000Q4,Personal Expenditure on Consumer Goods and Services,18913.0
3865,Expenditure on GNP at Constant Market Prices,2000Q4,Household & NPISH Final Consumption Expenditure,18319.0
3866,Expenditure on GNP at Constant Market Prices,2000Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6878.0
3867,Expenditure on GNP at Constant Market Prices,2000Q4,General Government Expenditure on Goods & Services provided to Households,4753.0
3868,Expenditure on GNP at Constant Market Prices,2000Q4,General Government Collective Consumption Expenditure,2690.0
3869,Expenditure on GNP at Constant Market Prices,2000Q4,General Government Final Consumption Expenditure,7444.0
3870,Expenditure on GNP at Constant Market Prices,2000Q4,Gross Domestic Fixed Capital Formation,8145.0
3871,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Dwellings,2033.0
3872,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Improvements,877.0
3873,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Other Building and Construction,2842.0
3874,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Transfer Costs,444.0
3875,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Machinery and Equipment,1444.0
3876,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,-68.0
3877,Expenditure on GNP at Constant Market Prices,2000Q4,Gross domestic fixed capital formation - Intangible Assets,864.0
3878,Expenditure on GNP at Constant Market Prices,2000Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3879,Expenditure on GNP at Constant Market Prices,2000Q4,Value of Physical Changes in Stocks,361.0
3880,Expenditure on GNP at Constant Market Prices,2000Q4,Exports of Goods and Services (excluding Factor Income Flows),31862.0
3881,Expenditure on GNP at Constant Market Prices,2000Q4,Imports of Goods and Services (excluding Factor Income Flows),-29979.0
3882,Expenditure on GNP at Constant Market Prices,2000Q4,Gross Domestic Product at Market Prices,39357.0
3883,Expenditure on GNP at Constant Market Prices,2000Q4,Net Factor Income from the Rest of the World,-4494.0
3884,Expenditure on GNP at Constant Market Prices,2000Q4,Gross National Product at Market Prices,35395.0
3885,Expenditure on GNP at Constant Market Prices,2000Q4,Statistical Discrepancy,
3886,Expenditure on GNP at Constant Market Prices,2000Q4,Export of Goods (excluding Factor Income Flows),18308.0
3887,Expenditure on GNP at Constant Market Prices,2000Q4,Import of Goods (excluding Factor Income Flows),-13752.0
3888,Expenditure on GNP at Constant Market Prices,2000Q4,Export of Services (excluding Factor Income Flows),11121.0
3889,Expenditure on GNP at Constant Market Prices,2000Q4,Import of Services (excluding Factor Income Flows),-15415.0
3890,Expenditure on GNP at Constant Market Prices,2000Q4,Final Domestic Demand,34102.0
3891,Expenditure on GNP at Constant Market Prices,2000Q4,Total Domestic Demand,34249.0
3892,Expenditure on GNP at Constant Market Prices,2001Q1,Personal Expenditure on Consumer Goods and Services,18004.0
3893,Expenditure on GNP at Constant Market Prices,2001Q1,Household & NPISH Final Consumption Expenditure,17407.0
3894,Expenditure on GNP at Constant Market Prices,2001Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6108.0
3895,Expenditure on GNP at Constant Market Prices,2001Q1,General Government Expenditure on Goods & Services provided to Households,4331.0
3896,Expenditure on GNP at Constant Market Prices,2001Q1,General Government Collective Consumption Expenditure,2353.0
3897,Expenditure on GNP at Constant Market Prices,2001Q1,General Government Final Consumption Expenditure,6685.0
3898,Expenditure on GNP at Constant Market Prices,2001Q1,Gross Domestic Fixed Capital Formation,9678.0
3899,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Dwellings,1968.0
3900,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Improvements,951.0
3901,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Other Building and Construction,2635.0
3902,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Transfer Costs,490.0
3903,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Machinery and Equipment,2384.0
3904,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,392.0
3905,Expenditure on GNP at Constant Market Prices,2001Q1,Gross domestic fixed capital formation - Intangible Assets,1264.0
3906,Expenditure on GNP at Constant Market Prices,2001Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3907,Expenditure on GNP at Constant Market Prices,2001Q1,Value of Physical Changes in Stocks,438.0
3908,Expenditure on GNP at Constant Market Prices,2001Q1,Exports of Goods and Services (excluding Factor Income Flows),32836.0
3909,Expenditure on GNP at Constant Market Prices,2001Q1,Imports of Goods and Services (excluding Factor Income Flows),-31361.0
3910,Expenditure on GNP at Constant Market Prices,2001Q1,Gross Domestic Product at Market Prices,39023.0
3911,Expenditure on GNP at Constant Market Prices,2001Q1,Net Factor Income from the Rest of the World,-4297.0
3912,Expenditure on GNP at Constant Market Prices,2001Q1,Gross National Product at Market Prices,35338.0
3913,Expenditure on GNP at Constant Market Prices,2001Q1,Statistical Discrepancy,
3914,Expenditure on GNP at Constant Market Prices,2001Q1,Export of Goods (excluding Factor Income Flows),18956.0
3915,Expenditure on GNP at Constant Market Prices,2001Q1,Import of Goods (excluding Factor Income Flows),-15339.0
3916,Expenditure on GNP at Constant Market Prices,2001Q1,Export of Services (excluding Factor Income Flows),11255.0
3917,Expenditure on GNP at Constant Market Prices,2001Q1,Import of Services (excluding Factor Income Flows),-14636.0
3918,Expenditure on GNP at Constant Market Prices,2001Q1,Final Domestic Demand,34081.0
3919,Expenditure on GNP at Constant Market Prices,2001Q1,Total Domestic Demand,34303.0
3920,Expenditure on GNP at Constant Market Prices,2001Q2,Personal Expenditure on Consumer Goods and Services,18242.0
3921,Expenditure on GNP at Constant Market Prices,2001Q2,Household & NPISH Final Consumption Expenditure,17638.0
3922,Expenditure on GNP at Constant Market Prices,2001Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6392.0
3923,Expenditure on GNP at Constant Market Prices,2001Q2,General Government Expenditure on Goods & Services provided to Households,4520.0
3924,Expenditure on GNP at Constant Market Prices,2001Q2,General Government Collective Consumption Expenditure,2456.0
3925,Expenditure on GNP at Constant Market Prices,2001Q2,General Government Final Consumption Expenditure,6976.0
3926,Expenditure on GNP at Constant Market Prices,2001Q2,Gross Domestic Fixed Capital Formation,9321.0
3927,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Dwellings,2139.0
3928,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Improvements,968.0
3929,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Other Building and Construction,2606.0
3930,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Transfer Costs,448.0
3931,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Machinery and Equipment,1947.0
3932,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,393.0
3933,Expenditure on GNP at Constant Market Prices,2001Q2,Gross domestic fixed capital formation - Intangible Assets,1392.0
3934,Expenditure on GNP at Constant Market Prices,2001Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3935,Expenditure on GNP at Constant Market Prices,2001Q2,Value of Physical Changes in Stocks,-158.0
3936,Expenditure on GNP at Constant Market Prices,2001Q2,Exports of Goods and Services (excluding Factor Income Flows),32425.0
3937,Expenditure on GNP at Constant Market Prices,2001Q2,Imports of Goods and Services (excluding Factor Income Flows),-29210.0
3938,Expenditure on GNP at Constant Market Prices,2001Q2,Gross Domestic Product at Market Prices,39856.0
3939,Expenditure on GNP at Constant Market Prices,2001Q2,Net Factor Income from the Rest of the World,-5095.0
3940,Expenditure on GNP at Constant Market Prices,2001Q2,Gross National Product at Market Prices,35075.0
3941,Expenditure on GNP at Constant Market Prices,2001Q2,Statistical Discrepancy,
3942,Expenditure on GNP at Constant Market Prices,2001Q2,Export of Goods (excluding Factor Income Flows),17986.0
3943,Expenditure on GNP at Constant Market Prices,2001Q2,Import of Goods (excluding Factor Income Flows),-12985.0
3944,Expenditure on GNP at Constant Market Prices,2001Q2,Export of Services (excluding Factor Income Flows),12752.0
3945,Expenditure on GNP at Constant Market Prices,2001Q2,Import of Services (excluding Factor Income Flows),-15691.0
3946,Expenditure on GNP at Constant Market Prices,2001Q2,Final Domestic Demand,34194.0
3947,Expenditure on GNP at Constant Market Prices,2001Q2,Total Domestic Demand,33787.0
3948,Expenditure on GNP at Constant Market Prices,2001Q3,Personal Expenditure on Consumer Goods and Services,18112.0
3949,Expenditure on GNP at Constant Market Prices,2001Q3,Household & NPISH Final Consumption Expenditure,17512.0
3950,Expenditure on GNP at Constant Market Prices,2001Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6696.0
3951,Expenditure on GNP at Constant Market Prices,2001Q3,General Government Expenditure on Goods & Services provided to Households,4715.0
3952,Expenditure on GNP at Constant Market Prices,2001Q3,General Government Collective Consumption Expenditure,2561.0
3953,Expenditure on GNP at Constant Market Prices,2001Q3,General Government Final Consumption Expenditure,7276.0
3954,Expenditure on GNP at Constant Market Prices,2001Q3,Gross Domestic Fixed Capital Formation,8604.0
3955,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Dwellings,2203.0
3956,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Improvements,923.0
3957,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Other Building and Construction,2835.0
3958,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Transfer Costs,478.0
3959,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Machinery and Equipment,1314.0
3960,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,38.0
3961,Expenditure on GNP at Constant Market Prices,2001Q3,Gross domestic fixed capital formation - Intangible Assets,1290.0
3962,Expenditure on GNP at Constant Market Prices,2001Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3963,Expenditure on GNP at Constant Market Prices,2001Q3,Value of Physical Changes in Stocks,117.0
3964,Expenditure on GNP at Constant Market Prices,2001Q3,Exports of Goods and Services (excluding Factor Income Flows),32589.0
3965,Expenditure on GNP at Constant Market Prices,2001Q3,Imports of Goods and Services (excluding Factor Income Flows),-28558.0
3966,Expenditure on GNP at Constant Market Prices,2001Q3,Gross Domestic Product at Market Prices,39920.0
3967,Expenditure on GNP at Constant Market Prices,2001Q3,Net Factor Income from the Rest of the World,-5327.0
3968,Expenditure on GNP at Constant Market Prices,2001Q3,Gross National Product at Market Prices,34808.0
3969,Expenditure on GNP at Constant Market Prices,2001Q3,Statistical Discrepancy,
3970,Expenditure on GNP at Constant Market Prices,2001Q3,Export of Goods (excluding Factor Income Flows),18028.0
3971,Expenditure on GNP at Constant Market Prices,2001Q3,Import of Goods (excluding Factor Income Flows),-12571.0
3972,Expenditure on GNP at Constant Market Prices,2001Q3,Export of Services (excluding Factor Income Flows),12928.0
3973,Expenditure on GNP at Constant Market Prices,2001Q3,Import of Services (excluding Factor Income Flows),-15539.0
3974,Expenditure on GNP at Constant Market Prices,2001Q3,Final Domestic Demand,33564.0
3975,Expenditure on GNP at Constant Market Prices,2001Q3,Total Domestic Demand,33452.0
3976,Expenditure on GNP at Constant Market Prices,2001Q4,Personal Expenditure on Consumer Goods and Services,19977.0
3977,Expenditure on GNP at Constant Market Prices,2001Q4,Household & NPISH Final Consumption Expenditure,19315.0
3978,Expenditure on GNP at Constant Market Prices,2001Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7507.0
3979,Expenditure on GNP at Constant Market Prices,2001Q4,General Government Expenditure on Goods & Services provided to Households,5279.0
3980,Expenditure on GNP at Constant Market Prices,2001Q4,General Government Collective Consumption Expenditure,2868.0
3981,Expenditure on GNP at Constant Market Prices,2001Q4,General Government Final Consumption Expenditure,8148.0
3982,Expenditure on GNP at Constant Market Prices,2001Q4,Gross Domestic Fixed Capital Formation,8882.0
3983,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Dwellings,2236.0
3984,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Improvements,878.0
3985,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Other Building and Construction,3243.0
3986,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Transfer Costs,395.0
3987,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Machinery and Equipment,1184.0
3988,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,124.0
3989,Expenditure on GNP at Constant Market Prices,2001Q4,Gross domestic fixed capital formation - Intangible Assets,1509.0
3990,Expenditure on GNP at Constant Market Prices,2001Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
3991,Expenditure on GNP at Constant Market Prices,2001Q4,Value of Physical Changes in Stocks,36.0
3992,Expenditure on GNP at Constant Market Prices,2001Q4,Exports of Goods and Services (excluding Factor Income Flows),34071.0
3993,Expenditure on GNP at Constant Market Prices,2001Q4,Imports of Goods and Services (excluding Factor Income Flows),-31371.0
3994,Expenditure on GNP at Constant Market Prices,2001Q4,Gross Domestic Product at Market Prices,41133.0
3995,Expenditure on GNP at Constant Market Prices,2001Q4,Net Factor Income from the Rest of the World,-5303.0
3996,Expenditure on GNP at Constant Market Prices,2001Q4,Gross National Product at Market Prices,36135.0
3997,Expenditure on GNP at Constant Market Prices,2001Q4,Statistical Discrepancy,
3998,Expenditure on GNP at Constant Market Prices,2001Q4,Export of Goods (excluding Factor Income Flows),18876.0
3999,Expenditure on GNP at Constant Market Prices,2001Q4,Import of Goods (excluding Factor Income Flows),-14164.0
4000,Expenditure on GNP at Constant Market Prices,2001Q4,Export of Services (excluding Factor Income Flows),13453.0
4001,Expenditure on GNP at Constant Market Prices,2001Q4,Import of Services (excluding Factor Income Flows),-16507.0
4002,Expenditure on GNP at Constant Market Prices,2001Q4,Final Domestic Demand,36485.0
4003,Expenditure on GNP at Constant Market Prices,2001Q4,Total Domestic Demand,36266.0
4004,Expenditure on GNP at Constant Market Prices,2002Q1,Personal Expenditure on Consumer Goods and Services,18857.0
4005,Expenditure on GNP at Constant Market Prices,2002Q1,Household & NPISH Final Consumption Expenditure,18171.0
4006,Expenditure on GNP at Constant Market Prices,2002Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6734.0
4007,Expenditure on GNP at Constant Market Prices,2002Q1,General Government Expenditure on Goods & Services provided to Households,4902.0
4008,Expenditure on GNP at Constant Market Prices,2002Q1,General Government Collective Consumption Expenditure,2509.0
4009,Expenditure on GNP at Constant Market Prices,2002Q1,General Government Final Consumption Expenditure,7411.0
4010,Expenditure on GNP at Constant Market Prices,2002Q1,Gross Domestic Fixed Capital Formation,9641.0
4011,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Dwellings,2087.0
4012,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Improvements,926.0
4013,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Other Building and Construction,2777.0
4014,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Transfer Costs,380.0
4015,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Machinery and Equipment,2160.0
4016,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,464.0
4017,Expenditure on GNP at Constant Market Prices,2002Q1,Gross domestic fixed capital formation - Intangible Assets,1457.0
4018,Expenditure on GNP at Constant Market Prices,2002Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4019,Expenditure on GNP at Constant Market Prices,2002Q1,Value of Physical Changes in Stocks,-39.0
4020,Expenditure on GNP at Constant Market Prices,2002Q1,Exports of Goods and Services (excluding Factor Income Flows),35780.0
4021,Expenditure on GNP at Constant Market Prices,2002Q1,Imports of Goods and Services (excluding Factor Income Flows),-32931.0
4022,Expenditure on GNP at Constant Market Prices,2002Q1,Gross Domestic Product at Market Prices,41126.0
4023,Expenditure on GNP at Constant Market Prices,2002Q1,Net Factor Income from the Rest of the World,-6186.0
4024,Expenditure on GNP at Constant Market Prices,2002Q1,Gross National Product at Market Prices,34987.0
4025,Expenditure on GNP at Constant Market Prices,2002Q1,Statistical Discrepancy,
4026,Expenditure on GNP at Constant Market Prices,2002Q1,Export of Goods (excluding Factor Income Flows),20822.0
4027,Expenditure on GNP at Constant Market Prices,2002Q1,Import of Goods (excluding Factor Income Flows),-15595.0
4028,Expenditure on GNP at Constant Market Prices,2002Q1,Export of Services (excluding Factor Income Flows),12075.0
4029,Expenditure on GNP at Constant Market Prices,2002Q1,Import of Services (excluding Factor Income Flows),-16228.0
4030,Expenditure on GNP at Constant Market Prices,2002Q1,Final Domestic Demand,35467.0
4031,Expenditure on GNP at Constant Market Prices,2002Q1,Total Domestic Demand,35155.0
4032,Expenditure on GNP at Constant Market Prices,2002Q2,Personal Expenditure on Consumer Goods and Services,18776.0
4033,Expenditure on GNP at Constant Market Prices,2002Q2,Household & NPISH Final Consumption Expenditure,18093.0
4034,Expenditure on GNP at Constant Market Prices,2002Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6892.0
4035,Expenditure on GNP at Constant Market Prices,2002Q2,General Government Expenditure on Goods & Services provided to Households,5005.0
4036,Expenditure on GNP at Constant Market Prices,2002Q2,General Government Collective Consumption Expenditure,2562.0
4037,Expenditure on GNP at Constant Market Prices,2002Q2,General Government Final Consumption Expenditure,7567.0
4038,Expenditure on GNP at Constant Market Prices,2002Q2,Gross Domestic Fixed Capital Formation,9428.0
4039,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Dwellings,2141.0
4040,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Improvements,823.0
4041,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Other Building and Construction,2767.0
4042,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Transfer Costs,446.0
4043,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Machinery and Equipment,1857.0
4044,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,228.0
4045,Expenditure on GNP at Constant Market Prices,2002Q2,Gross domestic fixed capital formation - Intangible Assets,1636.0
4046,Expenditure on GNP at Constant Market Prices,2002Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
4047,Expenditure on GNP at Constant Market Prices,2002Q2,Value of Physical Changes in Stocks,504.0
4048,Expenditure on GNP at Constant Market Prices,2002Q2,Exports of Goods and Services (excluding Factor Income Flows),35263.0
4049,Expenditure on GNP at Constant Market Prices,2002Q2,Imports of Goods and Services (excluding Factor Income Flows),-32566.0
4050,Expenditure on GNP at Constant Market Prices,2002Q2,Gross Domestic Product at Market Prices,41914.0
4051,Expenditure on GNP at Constant Market Prices,2002Q2,Net Factor Income from the Rest of the World,-6140.0
4052,Expenditure on GNP at Constant Market Prices,2002Q2,Gross National Product at Market Prices,35873.0
4053,Expenditure on GNP at Constant Market Prices,2002Q2,Statistical Discrepancy,
4054,Expenditure on GNP at Constant Market Prices,2002Q2,Export of Goods (excluding Factor Income Flows),19884.0
4055,Expenditure on GNP at Constant Market Prices,2002Q2,Import of Goods (excluding Factor Income Flows),-14840.0
4056,Expenditure on GNP at Constant Market Prices,2002Q2,Export of Services (excluding Factor Income Flows),13179.0
4057,Expenditure on GNP at Constant Market Prices,2002Q2,Import of Services (excluding Factor Income Flows),-16918.0
4058,Expenditure on GNP at Constant Market Prices,2002Q2,Final Domestic Demand,35293.0
4059,Expenditure on GNP at Constant Market Prices,2002Q2,Total Domestic Demand,35632.0
4060,Expenditure on GNP at Constant Market Prices,2002Q3,Personal Expenditure on Consumer Goods and Services,19141.0
4061,Expenditure on GNP at Constant Market Prices,2002Q3,Household & NPISH Final Consumption Expenditure,18445.0
4062,Expenditure on GNP at Constant Market Prices,2002Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7097.0
4063,Expenditure on GNP at Constant Market Prices,2002Q3,General Government Expenditure on Goods & Services provided to Households,5149.0
4064,Expenditure on GNP at Constant Market Prices,2002Q3,General Government Collective Consumption Expenditure,2636.0
4065,Expenditure on GNP at Constant Market Prices,2002Q3,General Government Final Consumption Expenditure,7785.0
4066,Expenditure on GNP at Constant Market Prices,2002Q3,Gross Domestic Fixed Capital Formation,9810.0
4067,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Dwellings,2488.0
4068,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Improvements,779.0
4069,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Other Building and Construction,2914.0
4070,Expenditure on GNP at Constant Market Prices,2002Q3,Gross domestic fixed capital formation - Transfer Costs,571.0
