,Statistic,Quarter,Item,value
534,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
535,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
536,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
537,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net incurrence of liabilities,
538,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
539,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
540,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,Memo: Net derivative flows on debt interest swap contracts,
541,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),12592.0
542,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),12191.0
543,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),401.0
544,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - ESA2010 Code (TR),12847.0
545,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),11560.0
546,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9548.0
547,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2013.0
548,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),588.0
549,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),334.0
550,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),14.0
551,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),351.0
552,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - ESA2010 Code (TE),12134.0
553,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),11773.0
554,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3495.0
555,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2036.0
556,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),697.0
557,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),426.0
558,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),366.0
559,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),3796.0
560,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),645.0
561,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),312.0
562,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net operating balance - ESA2010 Code  (NOB),1074.0
563,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),360.0
564,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government Surplus/Deficit - ESA2010 Code (B9),714.0
565,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets,
566,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
567,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
568,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
569,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities,
570,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
571,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
572,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,Memo: Net derivative flows on debt interest swap contracts,
573,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13442.0
574,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),12631.0
575,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),811.0
576,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - ESA2010 Code (TR),12291.0
577,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),11024.0
578,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9012.0
579,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2013.0
580,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),605.0
581,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),144.0
582,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),135.0
583,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),382.0
584,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - ESA2010 Code (TE),12812.0
585,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12275.0
586,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3639.0
587,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2188.0
588,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),697.0
589,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),415.0
590,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),360.0
591,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),3963.0
592,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),698.0
593,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),315.0
594,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net operating balance - ESA2010 Code  (NOB),17.0
595,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),538.0
596,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government Surplus/Deficit - ESA2010 Code (B9),-521.0
597,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets,
598,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
599,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
600,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
601,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities,
602,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
603,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
604,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,Memo: Net derivative flows on debt interest swap contracts,
605,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13484.0
606,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13060.0
607,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),424.0
608,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - ESA2010 Code (TR),16121.0
609,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14558.0
610,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12545.0
611,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2013.0
612,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),718.0
613,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),182.0
614,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),122.0
615,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),541.0
616,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - ESA2010 Code (TE),15084.0
617,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),13385.0
618,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3929.0
619,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2328.0
620,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),697.0
621,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),435.0
622,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),467.0
623,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4319.0
624,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),742.0
625,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),467.0
626,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net operating balance - ESA2010 Code  (NOB),2735.0
627,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1699.0
628,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government Surplus/Deficit - ESA2010 Code (B9),1037.0
629,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets,
630,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
631,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
632,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
633,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities,
634,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
635,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
636,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,Memo: Net derivative flows on debt interest swap contracts,
637,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13606.0
638,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13392.0
639,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2004Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),214.0
640,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - ESA2010 Code (TR),13374.0
641,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12206.0
642,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10017.0
643,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189.0
644,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),519.0
645,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),191.0
646,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),33.0
647,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),425.0
648,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - ESA2010 Code (TE),12566.0
649,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12563.0
650,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3854.0
651,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1798.0
652,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752.0
653,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),436.0
654,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),335.0
655,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4260.0
656,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),866.0
657,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),260.0
658,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net operating balance - ESA2010 Code  (NOB),812.0
659,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),3.0
660,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government Surplus/Deficit - ESA2010 Code (B9),808.0
661,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets,
662,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
663,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
664,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
665,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities,
666,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
667,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
668,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,Memo: Net derivative flows on debt interest swap contracts,
669,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),13744.0
670,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13511.0
671,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),233.0
672,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - ESA2010 Code (TR),13054.0
673,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),11536.0
674,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),9347.0
675,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189.0
676,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),723.0
677,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),334.0
678,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),32.0
679,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),429.0
680,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - ESA2010 Code (TE),13309.0
681,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),12892.0
682,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),3867.0
683,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2045.0
684,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),752.0
685,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),434.0
686,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),385.0
687,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),4476.0
688,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),627.0
689,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),307.0
690,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net operating balance - ESA2010 Code  (NOB),162.0
691,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),417.0
692,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-255.0
693,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets,
694,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),
695,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),
696,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),
697,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities,
698,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),
699,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),
700,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,Memo: Net derivative flows on debt interest swap contracts,
701,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),14225.0
702,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),13832.0
703,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),393.0
704,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - ESA2010 Code (TR),13999.0
705,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),12636.0
706,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10447.0
707,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2189.0
708,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2005Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),655.0
