Statistic,Quarter,Sectors,value
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Fixed Capital Formation,9018.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Exports of Goods and Services (excluding Factor Income Flows),48153.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Imports of Goods and Services (excluding Factor Income Flows),-41125.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross Domestic Product at Market Prices,49839.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Gross National Product at Market Prices,43722.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2010Q4,Modified Final Domestic Demand,36226.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Personal Expenditure on Consumer Goods and Services,23053.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7369.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Fixed Capital Formation,8494.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Exports of Goods and Services (excluding Factor Income Flows),49919.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Imports of Goods and Services (excluding Factor Income Flows),-41296.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross Domestic Product at Market Prices,50241.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Gross National Product at Market Prices,40848.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Modified Final Domestic Demand,36089.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Personal Expenditure on Consumer Goods and Services,22967.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7525.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Fixed Capital Formation,9769.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Exports of Goods and Services (excluding Factor Income Flows),49478.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Imports of Goods and Services (excluding Factor Income Flows),-41063.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Product at Market Prices,51001.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross National Product at Market Prices,41360.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Modified Final Domestic Demand,36150.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Personal Expenditure on Consumer Goods and Services,22604.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7421.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Fixed Capital Formation,8451.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Exports of Goods and Services (excluding Factor Income Flows),48699.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Imports of Goods and Services (excluding Factor Income Flows),-40886.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Product at Market Prices,50111.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross National Product at Market Prices,40734.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Modified Final Domestic Demand,35127.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Personal Expenditure on Consumer Goods and Services,22791.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7141.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Fixed Capital Formation,8605.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Exports of Goods and Services (excluding Factor Income Flows),49367.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Imports of Goods and Services (excluding Factor Income Flows),-41025.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Product at Market Prices,50137.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross National Product at Market Prices,40793.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Modified Final Domestic Demand,35506.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Personal Expenditure on Consumer Goods and Services,22559.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7052.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross Domestic Fixed Capital Formation,10019.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Exports of Goods and Services (excluding Factor Income Flows),47988.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Imports of Goods and Services (excluding Factor Income Flows),-40724.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross Domestic Product at Market Prices,49869.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross National Product at Market Prices,39871.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Modified Final Domestic Demand,35774.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Personal Expenditure on Consumer Goods and Services,22682.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6968.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross Domestic Fixed Capital Formation,12330.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Exports of Goods and Services (excluding Factor Income Flows),48730.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Imports of Goods and Services (excluding Factor Income Flows),-40681.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross Domestic Product at Market Prices,50936.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Gross National Product at Market Prices,41615.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q2,Modified Final Domestic Demand,35241.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Personal Expenditure on Consumer Goods and Services,23016.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,6918.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross Domestic Fixed Capital Formation,9351.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Exports of Goods and Services (excluding Factor Income Flows),48770.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Imports of Goods and Services (excluding Factor Income Flows),-40560.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross Domestic Product at Market Prices,50034.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Gross National Product at Market Prices,40392.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q3,Modified Final Domestic Demand,35797.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Personal Expenditure on Consumer Goods and Services,22945.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,6809.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross Domestic Fixed Capital Formation,8857.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Exports of Goods and Services (excluding Factor Income Flows),50511.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Imports of Goods and Services (excluding Factor Income Flows),-40101.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross Domestic Product at Market Prices,50334.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Gross National Product at Market Prices,41163.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q4,Modified Final Domestic Demand,35761.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Personal Expenditure on Consumer Goods and Services,22692.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,6678.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross Domestic Fixed Capital Formation,9820.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Exports of Goods and Services (excluding Factor Income Flows),48378.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Imports of Goods and Services (excluding Factor Income Flows),-40441.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross Domestic Product at Market Prices,49566.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Gross National Product at Market Prices,41671.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q1,Modified Final Domestic Demand,35677.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Personal Expenditure on Consumer Goods and Services,22728.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,6721.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross Domestic Fixed Capital Formation,9304.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Exports of Goods and Services (excluding Factor Income Flows),51254.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Imports of Goods and Services (excluding Factor Income Flows),-40787.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross Domestic Product at Market Prices,51039.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Gross National Product at Market Prices,42177.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q2,Modified Final Domestic Demand,35873.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Personal Expenditure on Consumer Goods and Services,22958.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7067.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross Domestic Fixed Capital Formation,10434.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Exports of Goods and Services (excluding Factor Income Flows),51321.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Imports of Goods and Services (excluding Factor Income Flows),-41490.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross Domestic Product at Market Prices,52097.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Gross National Product at Market Prices,43834.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q3,Modified Final Domestic Demand,37292.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Personal Expenditure on Consumer Goods and Services,23038.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7119.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross Domestic Fixed Capital Formation,9830.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Exports of Goods and Services (excluding Factor Income Flows),51420.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Imports of Goods and Services (excluding Factor Income Flows),-40865.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross Domestic Product at Market Prices,51672.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Gross National Product at Market Prices,44743.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2013Q4,Modified Final Domestic Demand,37720.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Personal Expenditure on Consumer Goods and Services,23069.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7177.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross Domestic Fixed Capital Formation,11471.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Exports of Goods and Services (excluding Factor Income Flows),53755.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Imports of Goods and Services (excluding Factor Income Flows),-43864.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross Domestic Product at Market Prices,53690.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Gross National Product at Market Prices,45192.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q1,Modified Final Domestic Demand,37569.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Personal Expenditure on Consumer Goods and Services,23378.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7374.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross Domestic Fixed Capital Formation,11145.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Exports of Goods and Services (excluding Factor Income Flows),57850.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Imports of Goods and Services (excluding Factor Income Flows),-45749.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross Domestic Product at Market Prices,55914.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Gross National Product at Market Prices,47081.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q2,Modified Final Domestic Demand,38247.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Personal Expenditure on Consumer Goods and Services,23522.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7161.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross Domestic Fixed Capital Formation,12274.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Exports of Goods and Services (excluding Factor Income Flows),60406.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Imports of Goods and Services (excluding Factor Income Flows),-49216.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross Domestic Product at Market Prices,56148.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Gross National Product at Market Prices,47161.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q3,Modified Final Domestic Demand,38539.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Personal Expenditure on Consumer Goods and Services,23799.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7055.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross Domestic Fixed Capital Formation,11692.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Exports of Goods and Services (excluding Factor Income Flows),59546.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Imports of Goods and Services (excluding Factor Income Flows),-48786.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross Domestic Product at Market Prices,55987.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Gross National Product at Market Prices,48157.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2014Q4,Modified Final Domestic Demand,38871.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Personal Expenditure on Consumer Goods and Services,23765.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7340.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross Domestic Fixed Capital Formation,14143.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Exports of Goods and Services (excluding Factor Income Flows),76845.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Imports of Goods and Services (excluding Factor Income Flows),-56126.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross Domestic Product at Market Prices,69359.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Gross National Product at Market Prices,52733.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q1,Modified Final Domestic Demand,39885.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Personal Expenditure on Consumer Goods and Services,23990.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7335.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Fixed Capital Formation,15943.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Exports of Goods and Services (excluding Factor Income Flows),77474.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Imports of Goods and Services (excluding Factor Income Flows),-59073.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross Domestic Product at Market Prices,68007.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Gross National Product at Market Prices,56493.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q2,Modified Final Domestic Demand,40008.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Personal Expenditure on Consumer Goods and Services,24249.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7325.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Fixed Capital Formation,16476.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Exports of Goods and Services (excluding Factor Income Flows),82205.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Imports of Goods and Services (excluding Factor Income Flows),-64372.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross Domestic Product at Market Prices,69984.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Gross National Product at Market Prices,51412.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q3,Modified Final Domestic Demand,40292.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Personal Expenditure on Consumer Goods and Services,24396.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7458.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Fixed Capital Formation,23599.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Exports of Goods and Services (excluding Factor Income Flows),82958.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Imports of Goods and Services (excluding Factor Income Flows),-69885.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross Domestic Product at Market Prices,70610.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Gross National Product at Market Prices,54169.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2015Q4,Modified Final Domestic Demand,39812.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Personal Expenditure on Consumer Goods and Services,25373.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7586.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Fixed Capital Formation,21505.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Exports of Goods and Services (excluding Factor Income Flows),82319.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Imports of Goods and Services (excluding Factor Income Flows),-71723.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross Domestic Product at Market Prices,68596.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Gross National Product at Market Prices,56993.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q1,Modified Final Domestic Demand,41721.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Personal Expenditure on Consumer Goods and Services,25116.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7614.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Fixed Capital Formation,27220.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Exports of Goods and Services (excluding Factor Income Flows),82954.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Imports of Goods and Services (excluding Factor Income Flows),-74946.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross Domestic Product at Market Prices,69840.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Gross National Product at Market Prices,57970.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q2,Modified Final Domestic Demand,41772.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Personal Expenditure on Consumer Goods and Services,25126.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7705.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Fixed Capital Formation,25396.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Exports of Goods and Services (excluding Factor Income Flows),85046.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Imports of Goods and Services (excluding Factor Income Flows),-75323.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross Domestic Product at Market Prices,69065.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Gross National Product at Market Prices,53652.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q3,Modified Final Domestic Demand,42519.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Personal Expenditure on Consumer Goods and Services,25505.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7862.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Fixed Capital Formation,30792.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Exports of Goods and Services (excluding Factor Income Flows),85351.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Imports of Goods and Services (excluding Factor Income Flows),-75936.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross Domestic Product at Market Prices,77013.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Gross National Product at Market Prices,62770.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2016Q4,Modified Final Domestic Demand,42818.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Personal Expenditure on Consumer Goods and Services,25752.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7857.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Fixed Capital Formation,17291.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Exports of Goods and Services (excluding Factor Income Flows),87783.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Imports of Goods and Services (excluding Factor Income Flows),-65988.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross Domestic Product at Market Prices,73588.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Gross National Product at Market Prices,57972.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q1,Modified Final Domestic Demand,43085.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Personal Expenditure on Consumer Goods and Services,25619.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7900.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Fixed Capital Formation,57007.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Exports of Goods and Services (excluding Factor Income Flows),88460.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Imports of Goods and Services (excluding Factor Income Flows),-102795.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross Domestic Product at Market Prices,76091.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Gross National Product at Market Prices,59349.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q2,Modified Final Domestic Demand,43474.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Personal Expenditure on Consumer Goods and Services,25916.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,8035.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Fixed Capital Formation,15520.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Exports of Goods and Services (excluding Factor Income Flows),92218.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Imports of Goods and Services (excluding Factor Income Flows),-65650.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross Domestic Product at Market Prices,78403.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Gross National Product at Market Prices,63482.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q3,Modified Final Domestic Demand,43609.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Personal Expenditure on Consumer Goods and Services,26013.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,8157.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Fixed Capital Formation,14740.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Exports of Goods and Services (excluding Factor Income Flows),101094.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Imports of Goods and Services (excluding Factor Income Flows),-67006.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross Domestic Product at Market Prices,82507.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Gross National Product at Market Prices,65046.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2017Q4,Modified Final Domestic Demand,44303.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Personal Expenditure on Consumer Goods and Services,26694.0
Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2018Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,8148.0
